# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 0 of = 50
# kmax_cap = 33
# generated = 2026-08-27 06:06:43 host = bp1-compute049
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 1
1,OK,1,1284241,2,11,16,25 -34 -16 16 -33,42.845
# S 51
51,OK,1,360197,2,10,16,51 -22 -12 -27 -17,82.289
# S 101
101,OK,1,810217,2,10,17,61 -18 46 16 97,302.568
# S 151
151,OK,1,726636,2,10,16,23 16 47 6 -22,31.331
# S 201
201,OK,1,986721,2,10,16,45 3 31 -20 -25,45.212
# S 251
251,OK,1,376344,2,10,16,10 -33 -17 7 -13,139.129
# S 301
301,OK,1,1002656,2,10,16,21 -6 -2 47 -9,200.901
# S 351
351,OK,1,1218332,2,11,17,107 59 -46 -7 -88,344.182
# S 401
401,OK,1,416205,2,10,15,9 -9 -3 13 9,0.631
# S 451
451,OK,1,438601,2,10,15,17 19 -8 -1 -14,0.946
# S 501
501,OK,1,963052,2,10,17,66 -71 6 28 -48,856.797
# S 551
551,OK,1,798425,2,10,16,51 21 -18 -50 0,292.751
# S 601
601,OK,1,988432,2,10,15,24 -1 14 -3 -4,7.928
# S 651
651,OK,1,661908,2,10,17,34 -11 -24 70 -68,369.757
# S 701
701,OK,1,999945,2,10,16,10 0 6 -20 33,27.349
# S 751
751,OK,1,1330381,2,11,15,20 -25 0 -23 -15,1.763
# S 801
801,OK,1,878765,2,10,16,80 -41 20 -24 -13,154.89
# S 851
851,OK,1,685889,2,10,16,39 -47 -30 2 10,171.114
# S 901
901,OK,1,1088385,2,11,16,28 -38 -15 27 21,88.472
# S 951
951,OK,1,684028,2,10,15,18 -12 -13 17 13,1.504
# S 1001
1001,OK,1,1019200,2,10,16,10 26 -13 13 -37,13.224
# S 1051
1051,OK,1,658681,2,10,16,58 -21 -19 -24 -27,55.749
# S 1101
1101,OK,1,834089,2,10,16,16 2 7 -11 -41,14.663
# S 1151
1151,OK,1,640908,2,10,16,32 6 3 -9 -38,13.347
# S 1201
1201,OK,1,377349,2,10,16,83 29 13 10 4,227.964
# S 1251
1251,OK,1,794265,2,10,16,13 -23 11 -8 51,10.598
# S 1301
1301,OK,1,845024,2,10,14,7 12 -11 -4 -1,0.343
# S 1351
1351,OK,1,253140,2,9,16,45 45 1 -12 0,276.125
# S 1401
1401,OK,1,1018233,2,10,16,4 -21 7 43 -26,33.45
# S 1451
1451,OK,1,1057544,2,11,15,5 -12 24 -3 -11,2.626
# S 1501
1501,OK,1,964305,2,10,16,16 -24 -29 12 35,13.652
# S 1551
1551,OK,1,1071121,2,11,16,36 34 44 -7 -23,62.699
# S 1601
1601,OK,1,1125904,2,11,16,6 34 13 14 -35,23.678
# S 1651
1651,OK,1,1373689,2,11,16,4 45 -30 25 -17,155.649
# S 1701
1701,OK,1,510328,2,10,15,21 -36 15 7 1,8.002
# S 1751
1751,OK,1,379641,2,10,15,9 -40 -2 -4 -3,4.82
# S 1801
1801,OK,1,1408577,2,11,17,52 32 -27 9 90,318.886
# S 1851
1851,OK,1,544580,2,10,16,33 -41 3 -10 10,123.864
# S 1901
1901,OK,1,1224268,2,11,16,4 -45 48 4 9,207.636
# S 1951
1951,OK,1,890881,2,10,16,52 5 -24 2 41,13.917
# S 2001
2001,OK,1,802137,2,10,17,130 -44 -15 -20 49,1688.455
# S 2051
2051,OK,1,964576,2,10,16,21 -47 -18 -11 11,141.822
# S 2101
2101,OK,1,985420,2,10,16,54 5 -6 9 29,61.289
# S 2151
2151,OK,1,1110136,2,11,16,7 22 28 26 -32,51.501
# S 2201
2201,OK,1,493397,2,10,15,3 11 -4 3 -14,0.399
# S 2251
2251,OK,1,1294949,2,11,16,54 -44 -30 -15 -22,86.969
# S 2301
2301,OK,1,1084385,2,11,16,52 2 24 5 -14,159.865
# S 2351
2351,OK,1,1406729,2,11,16,37 26 4 -19 -4,268.474
# S 2401
2401,OK,1,1001953,2,10,15,23 -18 8 3 4,6.647
# S 2451
2451,OK,1,456665,2,10,16,39 -23 24 -1 32,32.462
# S 2501
2501,OK,1,1247240,2,11,15,25 1 -17 -17 -11,3.589
# S 2551
2551,OK,1,1113585,2,11,15,24 20 8 11 -9,5.127
# S 2601
2601,OK,1,865412,2,10,15,9 17 -19 5 -5,7.032
# S 2651
2651,OK,1,1200292,2,11,16,49 24 -11 18 18,122.404
# S 2701
2701,OK,1,891532,2,10,16,24 -16 -47 -5 7,217.353
# S 2751
2751,OK,1,1251869,2,11,16,26 -45 25 -7 29,53.422
# S 2801
2801,OK,1,1158100,2,11,16,30 53 -10 33 -13,156.947
# S 2851
2851,OK,1,1195832,2,11,15,17 5 -5 19 0,10.953
# S 2901
2901,OK,1,1167313,2,11,17,106 3 20 5 69,823.184
# S 2951
2951,OK,1,588017,2,10,16,40 -63 11 -5 24,29.636
# S 3001
3001,OK,1,601884,2,10,16,41 -44 -14 -8 26,34.826
# S 3051
3051,OK,1,581725,2,10,17,29 39 -42 21 -84,281.026
# S 3101
3101,OK,1,602589,2,10,16,13 -18 -21 -9 -29,10.6
# S 3151
3151,OK,1,1255296,2,11,16,51 37 -36 -19 -18,89.696
# S 3201
3201,OK,1,839192,2,10,14,6 5 4 1 -7,0.054
# S 3251
3251,OK,1,796424,2,10,16,4 -8 19 -41 -19,91.381
# S 3301
3301,OK,1,910197,2,10,16,21 -8 49 25 -4,256.137
# S 3351
3351,OK,1,760336,2,10,17,122 7 0 -76 19,698.142
# S 3401
3401,OK,1,532912,2,10,16,5 10 -13 38 36,11.049
# S 3451
3451,OK,1,714140,2,10,16,12 22 19 29 28,44.717
# S 3501
3501,OK,1,365265,2,10,16,7 21 -1 -24 29,17.935
# S 3551
3551,OK,1,782353,2,10,16,46 1 42 15 39,15.284
# S 3601
3601,OK,1,731680,2,10,17,12 -97 34 -20 70,343.487
# S 3651
3651,OK,1,871705,2,10,15,20 18 10 -7 -7,3.764
# S 3701
3701,OK,1,1121385,2,11,16,4 28 45 -21 1,290.405
# S 3751
3751,OK,1,192065,2,9,16,92 -40 35 -6 12,35.639
# S 3801
3801,OK,1,871877,2,10,15,22 17 -9 11 -10,1.74
# S 3851
3851,OK,1,989613,2,10,16,38 12 -20 -53 -2,266.714
# S 3901
3901,OK,1,892564,2,10,15,4 -13 11 -1 -21,0.42
# S 3951
3951,OK,1,688601,2,10,16,6 16 1 -32 -35,13.155
# S 4001
4001,OK,1,519385,2,10,15,22 8 -3 17 7,4.372
# S 4051
4051,OK,1,246468,2,9,17,49 44 -7 -57 71,273.929
# S 4101
4101,OK,1,1136321,2,11,15,19 -3 -17 12 -3,8.451
# S 4151
4151,OK,1,874617,2,10,16,25 54 2 -19 -5,236.614
# S 4201
4201,OK,1,562256,2,10,15,29 -4 -13 10 8,3.337
# S 4251
4251,OK,1,640288,2,10,17,55 -13 -5 -49 65,351.752
# S 4301
4301,OK,1,202633,2,9,16,87 -9 25 -22 -22,32.621
# S 4351
4351,OK,1,168633,2,9,16,117 -12 36 -3 10,122.024
# S 4401
4401,OK,1,599089,2,10,16,47 53 -12 -25 15,58.391
# S 4451
4451,OK,1,1380241,2,11,16,22 12 27 33 5,242.475
# S 4501
4501,OK,1,651176,2,10,16,3 -7 29 -31 -18,81.273
# S 4551
4551,OK,1,1037588,2,10,16,52 -5 12 -14 -24,31.499
# S 4601
4601,OK,1,1069876,2,11,16,38 -44 -1 -3 8,210.143
# S 4651
4651,OK,1,936100,2,10,16,62 -20 5 -21 -14,118.919
# S 4701
4701,OK,1,661645,2,10,17,51 7 -12 34 -64,504.919
# S 4751
4751,OK,1,1232324,2,11,16,39 -16 -1 49 -24,75.091
# S 4801
4801,OK,1,918741,2,10,17,43 -18 -56 -41 -61,376.955
# S 4851
4851,OK,1,1316104,2,11,14,-6 16 -4 7 1,0.351
# S 4901
4901,OK,1,1095792,2,11,16,24 25 -1 -3 30,30.438
# S 4951
4951,OK,1,932193,2,10,17,108 12 2 -21 63,690.246
# S 5001
5001,OK,1,1054025,2,11,15,2 12 7 13 -15,1.411
# S 5051
5051,OK,1,1136781,2,11,15,24 -2 -26 17 12,2.577
# S 5101
5101,OK,1,622000,2,10,16,79 33 4 -20 3,254.503
# S 5151
5151,OK,1,844401,2,10,15,17 -10 -31 -12 -5,4.186
# S 5201
5201,OK,1,753941,2,10,16,27 19 2 3 25,11.323
# S 5251
5251,OK,1,865792,2,10,16,4 -52 -25 -11 -1,270.702
# S 5301
