# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 19 of = 50
# kmax_cap = 33
# generated = 2026-08-27 14:17:57 host = bp1-compute082
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 20
20,OK,1,1136573,2,11,16,6 45 2 -36 -28,45.636
# S 70
70,OK,1,737656,2,10,16,2 31 3 -22 -33,23.097
# S 120
120,OK,1,781708,2,10,15,8 -12 15 -25 -12,1.502
# S 170
170,OK,1,968269,2,10,16,56 26 -29 11 -39,12.061
# S 220
220,OK,1,737297,2,10,16,56 54 11 5 -8,135.347
# S 270
270,OK,1,1124673,2,11,16,-4 -36 44 8 -21,95.209
# S 320
320,OK,1,954417,2,10,16,6 56 37 32 13,144.752
# S 370
370,OK,1,867289,2,10,16,51 41 8 -1 -30,31.181
# S 420
420,OK,1,990900,2,10,15,12 -5 -1 -7 -23,0.518
# S 470
470,OK,1,580260,2,10,15,9 -22 -4 -11 2,8.193
# S 520
520,OK,1,1200572,2,11,16,37 32 7 -1 26,48.181
# S 570
570,OK,1,845596,2,10,16,46 25 -18 -16 31,31.793
# S 620
620,OK,1,250877,2,9,17,109 -18 -21 -34 -51,963.318
# S 670
670,OK,1,630664,2,10,17,6 29 -63 22 -77,340.374
# S 720
720,OK,1,683352,2,10,16,45 57 -31 0 -15,118.295
# S 770
770,OK,1,1242676,2,11,16,4 2 -29 30 38,23.396
# S 820
820,OK,1,523248,2,10,16,42 -18 -15 -28 -14,133.503
# S 870
870,OK,1,1130912,2,11,17,17 44 -67 -28 -70,549.035
# S 920
920,OK,1,1225321,2,11,16,19 -24 -3 27 32,31.818
# S 970
970,OK,1,323661,2,10,16,32 27 18 13 28,30.156
# S 1020
1020,OK,1,686181,2,10,16,26 -34 -17 3 -23,29.085
# S 1070
1070,OK,1,1394089,2,11,16,8 -10 44 -5 34,17.412
# S 1120
1120,OK,1,117233,2,9,17,61 -51 10 -8 43,298.277
# S 1170
1170,OK,1,506656,2,10,16,19 52 28 9 9,98.237
# S 1220
1220,OK,1,1064641,2,11,16,41 66 48 27 15,114.313
# S 1270
1270,OK,1,568836,2,10,17,27 -65 25 0 65,301.81
# S 1320
1320,OK,1,232873,2,9,16,4 43 7 27 10,127.951
# S 1370
1370,OK,1,747865,2,10,15,7 -16 14 12 -1,9.327
# S 1420
1420,OK,1,1103701,2,11,16,35 -25 13 -36 -3,243.847
# S 1470
1470,OK,1,1233356,2,11,16,7 16 37 39 -18,118.358
# S 1520
1520,OK,1,601501,2,10,16,42 -17 2 32 -18,39.954
# S 1570
1570,OK,1,539121,2,10,15,17 22 -10 -4 5,2.391
# S 1620
1620,OK,1,351969,2,10,15,14 -4 -15 16 2,7.383
# S 1670
1670,OK,1,444884,2,10,16,20 -61 4 -13 -8,137.228
# S 1720
1720,OK,1,765524,2,10,17,3 40 -84 -8 -57,934.934
# S 1770
1770,OK,1,731497,2,10,16,46 0 40 -14 -29,42.098
# S 1820
1820,OK,1,698485,2,10,15,36 3 -2 2 6,4.877
# S 1870
1870,OK,1,640884,2,10,16,14 -26 23 30 2,243.824
# S 1920
1920,OK,1,978024,2,10,16,12 -25 26 27 -18,68.661
# S 1970
1970,OK,1,739204,2,10,14,9 8 -1 0 -7,0.072
# S 2020
2020,OK,1,1035212,2,10,16,3 -10 40 -54 14,85.517
# S 2070
2070,OK,1,578204,2,10,16,47 60 -1 -23 -9,146.545
# S 2120
2120,OK,1,326368,2,10,16,73 35 -28 27 8,152.107
# S 2170
2170,OK,1,1090804,2,11,16,21 9 -30 -9 -23,77.427
# S 2220
2220,OK,1,1190761,2,11,17,19 57 0 -66 -73,631.538
# S 2270
2270,OK,1,659205,2,10,15,1 -12 25 -12 0,9.344
# S 2320
2320,OK,1,1025021,2,10,14,7 -16 5 6 2,0.282
# S 2370
2370,OK,1,1234672,2,11,16,2 -27 28 5 -36,19.078
# S 2420
2420,OK,1,746556,2,10,15,13 -6 11 -5 8,2.28
# S 2470
2470,OK,1,1285505,2,11,15,10 -3 6 8 -16,1.372
# S 2520
2520,OK,1,193265,2,9,16,13 10 -32 -18 -17,24.007
# S 2570
2570,OK,1,413512,2,10,14,2 -9 1 1 -6,0.082
# S 2620
2620,OK,1,846233,2,10,17,41 78 -25 44 50,1198.976
# S 2670
