# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 8 of = 50
# kmax_cap = 33
# generated = 2026-08-27 06:07:09 host = bp1-compute166
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 9
9,OK,1,425625,2,10,16,3 -16 -25 -27 24,26.684
# S 59
59,OK,1,380877,2,10,15,34 -10 -4 13 4,5.416
# S 109
109,OK,1,1037013,2,10,16,8 -20 -29 -3 26,47.078
# S 159
159,OK,1,888780,2,10,15,3 -14 2 -7 12,1.606
# S 209
209,OK,1,809812,2,10,15,22 12 16 13 1,8.518
# S 259
259,OK,1,390749,2,10,16,41 -17 30 3 -22,10.968
# S 309
309,OK,1,584737,2,10,16,5 68 26 -5 -8,96.536
# S 359
359,OK,1,574600,2,10,15,22 25 -15 10 -3,6.385
# S 409
409,OK,1,1165545,2,11,15,20 0 19 4 -13,2.38
# S 459
459,OK,1,1527996,2,11,16,18 44 7 10 16,139.574
# S 509
509,OK,1,581988,2,10,16,5 14 53 -26 25,43.081
# S 559
559,OK,1,740668,2,10,16,28 -52 -10 2 -27,36.585
# S 609
609,OK,1,987073,2,10,16,28 15 5 -9 -40,10.389
# S 659
659,OK,1,853585,2,10,17,1 -24 72 12 59,370.91
# S 709
709,OK,1,843893,2,10,13,3 3 -5 0 3,0.008
# S 759
759,OK,1,1018201,2,10,15,23 9 9 -15 10,3.481
# S 809
809,OK,1,886797,2,10,16,10 -45 -48 20 6,198.93
# S 859
859,OK,1,837372,2,10,16,36 1 -12 -5 -35,11.82
# S 909
909,OK,1,1227161,2,11,16,12 9 33 24 32,43.305
# S 959
959,OK,1,379077,2,10,16,12 -18 -25 35 -11,134.813
# S 1009
1009,OK,1,981865,2,10,16,59 -7 -29 -44 6,227.113
# S 1059
1059,OK,1,939481,2,10,16,11 -36 -15 -14 39,10.38
# S 1109
1109,OK,1,444977,2,10,16,3 -3 -31 7 -26,38.814
# S 1159
1159,OK,1,836272,2,10,16,37 -3 36 26 0,264.107
# S 1209
1209,OK,1,1043073,2,10,15,4 -24 21 12 -7,5.294
# S 1259
1259,OK,1,440808,2,10,16,53 -23 -11 18 -28,19.072
# S 1309
1309,OK,1,371577,2,10,15,23 -33 3 11 -1,8.289
# S 1359
1359,OK,1,665221,2,10,16,41 46 9 12 24,37.966
# S 1409
1409,OK,1,786592,2,10,16,35 31 36 -14 14,83.448
# S 1459
1459,OK,1,1396432,2,11,16,15 10 -10 -19 49,10.506
# S 1509
1509,OK,1,677104,2,10,16,31 -19 37 10 17,49.26
# S 1559
1559,OK,1,916417,2,10,16,13 43 -41 -31 11,155.036
# S 1609
1609,OK,1,1226692,2,11,16,27 -21 4 37 -12,94.756
# S 1659
1659,OK,1,596104,2,10,15,37 -4 7 -11 0,8.807
# S 1709
1709,OK,1,264373,2,10,14,17 -11 3 -4 -2,0.168
# S 1759
1759,OK,1,576148,2,10,17,78 -21 -7 -27 -30,376.558
# S 1809
1809,OK,1,722889,2,10,16,11 42 -25 -16 -15,65.716
# S 1859
