# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 40 of = 50
# kmax_cap = 33
# generated = 2026-08-28 06:58:26 host = bp1-compute123
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 41
41,OK,1,254580,2,9,15,17 -4 -7 16 14,4.198
# S 91
91,OK,1,922256,2,10,16,16 -10 -5 -17 41,12.165
# S 141
141,OK,1,800596,2,10,16,18 -35 21 4 18,65.022
# S 191
191,OK,1,1075152,2,11,16,1 18 -15 -43 33,47.316
# S 241
241,OK,1,1154712,2,11,16,15 54 20 25 26,63.394
# S 291
291,OK,1,301797,2,10,16,104 36 -5 -2 -9,159.66
# S 341
341,OK,1,840032,2,10,16,5 32 20 41 26,41.822
# S 391
391,OK,1,847300,2,10,16,9 35 -7 22 32,27.992
# S 441
441,OK,1,1083953,2,11,15,25 16 -26 -8 -3,8.801
# S 491
491,OK,1,1461625,2,11,17,47 -37 8 21 -102,346.549
# S 541
541,OK,1,899493,2,10,16,13 45 37 -7 -14,124.445
# S 591
591,OK,1,563868,2,10,16,14 -29 36 -29 -32,17.169
# S 641
641,OK,1,798048,2,10,16,55 -40 16 14 -9,192.432
# S 691
691,OK,1,484041,2,10,16,24 -16 -10 -4 31,16.884
# S 741
741,OK,1,819169,2,10,16,11 -22 24 24 37,12.861
# S 791
791,OK,1,602429,2,10,16,45 -23 -32 -32 16,121.308
# S 841
841,OK,1,800485,2,10,16,33 -69 21 -22 -10,171.826
# S 891
891,OK,1,739305,2,10,16,45 -20 -19 17 -16,157.739
# S 941
941,OK,1,518848,2,10,14,2 -4 -11 9 1,0.248
# S 991
991,OK,1,350025,2,10,16,38 27 -23 -24 -11,139.725
# S 1041
1041,OK,1,1274225,2,11,15,2 -2 17 -9 14,2.024
# S 1091
1091,OK,1,834760,2,10,16,38 -16 -31 -37 -14,162.367
# S 1141
1141,OK,1,758264,2,10,16,-3 -19 15 15 31,12.06
# S 1191
1191,OK,1,884185,2,10,16,16 -7 41 43 -12,160.451
# S 1241
1241,OK,1,385232,2,10,17,47 34 9 -30 58,301.813
# S 1291
1291,OK,1,467753,2,10,16,25 9 21 0 32,21.171
# S 1341
1341,OK,1,971097,2,10,16,12 35 -43 -26 -15,70.625
# S 1391
1391,OK,1,962893,2,10,16,29 55 28 7 -9,222.996
# S 1441
1441,OK,1,818864,2,10,16,8 -19 -50 5 6,238.877
# S 1491
1491,OK,1,1068520,2,11,16,3 -40 40 -2 -22,84.119
# S 1541
1541,OK,1,587405,2,10,16,24 41 -23 -16 -19,90.264
# S 1591
1591,OK,1,910708,2,10,16,47 22 -13 17 6,213.342
# S 1641
1641,OK,1,1264785,2,11,16,18 -38 -39 18 -27,48.377
# S 1691
1691,OK,1,932352,2,10,16,11 58 -36 -46 -29,23.898
# S 1741
1741,OK,1,920325,2,10,16,52 8 23 0 -29,41.405
# S 1791
1791,OK,1,691413,2,10,15,18 2 3 17 -11,1.899
# S 1841
1841,OK,1,855656,2,10,16,4 -20 41 -2 19,57.848
# S 1891
1891,OK,1,1128305,2,11,16,20 27 -2 -42 -19,95.778
# S 1941
1941,OK,1,1395173,2,11,16,53 -61 -15 3 19,149.452
# S 1991
1991,OK,1,532288,2,10,16,20 25 9 -31 7,232.215
# S 2041
2041,OK,1,433036,2,10,16,8 -74 27 -32 6,188.348
# S 2091
2091,OK,1,1082360,2,11,17,28 45 47 38 79,346.891
# S 2141
2141,OK,1,503049,2,10,16,22 11 8 -11 -40,14.006
# S 2191
2191,OK,1,503145,2,10,16,8 -13 -3 19 29,18.784
# S 2241
2241,OK,1,680725,2,10,17,66 -41 -30 62 61,764.084
# S 2291
2291,OK,1,1248881,2,11,16,28 40 -7 4 -46,12.611
# S 2341
2341,OK,1,644537,2,10,16,12 22 8 -25 45,11.514
# S 2391
2391,OK,1,865636,2,10,16,9 28 5 38 -42,14.866
# S 2441
2441,OK,1,663348,2,10,16,15 -33 -32 -15 -16,118.895
# S 2491
2491,OK,1,1398041,2,11,16,30 53 54 -10 -3,294.428
# S 2541
2541,OK,1,955125,2,10,16,2 -58 5 9 -26,67.873
# S 2591
2591,OK,1,1000381,2,10,16,2 45 33 18 21,115.602
# S 2641
2641,OK,1,1579861,2,11,16,36 -19 0 -30 18,163.361
# S 2691
2691,OK,1,968557,2,10,16,23 -40 -21 -17 10,128.804
# S 2741
2741,OK,1,1001712,2,10,15,12 -4 5 -5 -17,0.607
# S 2791
2791,OK,1,309512,2,10,14,4 2 -3 -5 7,0.028
# S 2841
2841,OK,1,815169,2,10,15,13 5 1 -22 -1,10.138
# S 2891
2891,OK,1,940844,2,10,16,22 55 20 -23 10,194.893
# S 2941
2941,OK,1,1402505,2,11,17,41 -37 -4 25 85,585.907
# S 2991
2991,OK,1,365688,2,10,15,16 13 -12 10 -10,2.024
# S 3041
3041,OK,1,945149,2,10,16,21 29 -32 -17 37,25.168
# S 3091
3091,OK,1,1235369,2,11,15,9 1 25 -4 -9,4.472
# S 3141
3141,OK,1,1292717,2,11,16,2 2 -36 17 -34,36.53
# S 3191
3191,OK,1,792693,2,10,14,6 7 2 3 -6,0.192
# S 3241
3241,OK,1,578820,2,10,16,42 -58 13 15 10,158.991
# S 3291
3291,OK,1,911104,2,10,16,35 50 5 26 3,288.714
# S 3341
3341,OK,1,463849,2,10,16,86 -14 -2 25 12,75.565
# S 3391
3391,OK,1,446745,2,10,16,49 19 46 -17 14,108.445
# S 3441
3441,OK,1,631321,2,10,17,54 52 -38 20 79,454.247
# S 3491
3491,OK,1,1513772,2,11,17,43 2 53 -25 100,349.138
# S 3541
3541,OK,1,1228440,2,11,15,8 1 -5 21 -7,6.737
# S 3591
3591,OK,1,826921,2,10,16,0 4 -1 -53 -11,66.155
# S 3641
3641,OK,1,1004869,2,10,16,49 -61 -37 -2 -18,126.14
# S 3691
3691,OK,1,351412,2,10,16,37 31 -11 20 -8,148.715
# S 3741
3741,OK,1,568037,2,10,15,23 -13 9 15 3,7.265
# S 3791
3791,OK,1,561649,2,10,16,19 -18 40 34 25,38.838
# S 3841
3841,OK,1,834988,2,10,16,10 -18 -45 21 -18,68.532
# S 3891
3891,OK,1,1152797,2,11,14,1 2 -7 0 9,0.032
# S 3941
3941,OK,1,1140437,2,11,15,15 -10 2 -13 11,4.329
# S 3991
3991,OK,1,278132,2,10,16,28 28 1 -26 9,27.73
# S 4041
4041,OK,1,917432,2,10,17,1 -12 -45 43 77,463.01
# S 4091
4091,OK,1,1024308,2,10,17,57 86 4 -30 -80,449.411
# S 4141
4141,OK,1,986913,2,10,16,4 -47 27 18 15,151.191
# S 4191
4191,OK,1,958989,2,10,16,0 48 -12 28 -17,108.623
# S 4241
4241,OK,1,439652,2,10,15,39 -6 -13 -4 2,8.714
# S 4291
4291,OK,1,834401,2,10,17,9 23 -14 -63 -64,713.208
# S 4341
4341,OK,1,926789,2,10,15,19 21 -11 6 -4,8.347
# S 4391
4391,OK,1,656801,2,10,16,33 -75 -13 5 -7,190.954
# S 4441
4441,OK,1,942017,2,10,16,13 -35 -20 3 -19,148.173
# S 4491
4491,OK,1,81773,2,9,16,11 22 33 -6 -8,145.857
# S 4541
4541,OK,1,1404865,2,11,16,19 -30 -33 2 -9,242.682
# S 4591
