# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 36 of = 50
# kmax_cap = 33
# generated = 2026-08-28 03:44:23 host = bp1-compute063
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 37
37,OK,1,507877,2,10,16,52 -52 -3 7 22,61.414
# S 87
87,OK,1,641701,2,10,15,19 -23 18 9 10,2.597
# S 137
137,OK,1,906041,2,10,14,11 -2 5 6 7,0.079
# S 187
187,OK,1,126348,2,9,16,67 -16 -3 24 -15,41.43
# S 237
237,OK,1,525712,2,10,16,27 -26 24 28 -26,41.638
# S 287
287,OK,1,937869,2,10,14,1 -1 6 -8 9,0.041
# S 337
337,OK,1,1095244,2,11,15,11 -23 -18 -6 11,2.576
# S 387
387,OK,1,858424,2,10,16,62 0 6 15 9,209.632
# S 437
437,OK,1,902192,2,10,16,17 -52 4 36 0,318.718
# S 487
487,OK,1,1199680,2,11,16,65 -25 -47 13 -9,237.622
# S 537
537,OK,1,816172,2,10,17,37 -54 -24 -9 -70,549.484
# S 587
587,OK,1,645260,2,10,16,1 -11 31 -30 -12,140.171
# S 637
637,OK,1,1112792,2,11,16,44 15 -19 37 -17,139.503
# S 687
687,OK,1,737081,2,10,16,28 54 -4 -10 -25,61.751
# S 737
737,OK,1,850417,2,10,16,1 -62 -21 -7 16,112.869
# S 787
787,OK,1,1101092,2,11,16,21 -32 41 10 3,287.86
# S 837
837,OK,1,861508,2,10,16,11 -9 -15 -30 -22,58.699
# S 887
887,OK,1,638177,2,10,15,7 18 -17 -18 -3,8.216
# S 937
937,OK,1,1067324,2,11,16,46 22 -27 3 9,214.013
# S 987
987,OK,1,504081,2,10,17,141 72 -35 9 -54,1117.908
# S 1037
1037,OK,1,947713,2,10,16,18 21 -50 7 -25,83.493
# S 1087
1087,OK,1,529669,2,10,16,73 13 -20 -9 0,309.569
# S 1137
1137,OK,1,411028,2,10,16,38 -11 -21 33 -18,112.299
# S 1187
1187,OK,1,1142145,2,11,16,44 20 -42 -21 -1,323.224
# S 1237
1237,OK,1,748048,2,10,16,26 -43 -8 -12 9,174.585
# S 1287
1287,OK,1,858564,2,10,16,12 -30 20 -27 25,22.843
# S 1337
1337,OK,1,416108,2,10,17,23 -15 60 19 44,367.015
# S 1387
1387,OK,1,649829,2,10,16,8 19 57 6 -19,66.248
# S 1437
1437,OK,1,794044,2,10,16,7 -39 -59 17 -9,175.001
# S 1487
1487,OK,1,803421,2,10,16,18 -30 29 -20 -18,63.87
# S 1537
1537,OK,1,947313,2,10,15,18 -1 -2 16 -8,4.701
# S 1587
1587,OK,1,1112225,2,11,15,23 7 -22 6 9,4.307
# S 1637
1637,OK,1,1015396,2,10,15,1 -6 8 -24 18,1.355
# S 1687
1687,OK,1,292609,2,10,17,17 44 39 64 -46,844.362
# S 1737
1737,OK,1,893328,2,10,15,10 16 -21 7 -10,3.855
# S 1787
1787,OK,1,288560,2,10,16,28 63 21 22 7,178.302
# S 1837
1837,OK,1,453361,2,10,16,11 -17 48 13 11,127.935
# S 1887
1887,OK,1,625001,2,10,16,9 -26 -25 -6 -31,26.331
# S 1937
1937,OK,1,707788,2,10,16,50 5 43 21 20,61.239
# S 1987
1987,OK,1,866460,2,10,16,27 -29 -5 -36 -15,150.705
# S 2037
2037,OK,1,391376,2,10,17,87 14 31 -21 54,811.933
# S 2087
2087,OK,1,817045,2,10,15,14 -22 -10 -12 -5,6.266
# S 2137
2137,OK,1,937541,2,10,15,36 15 -17 -2 -5,6.17
# S 2187
2187,OK,1,433736,2,10,17,41 -59 16 36 48,327.577
# S 2237
2237,OK,1,892104,2,10,17,62 -26 -67 -46 65,644.114
# S 2287
2287,OK,1,1069697,2,11,17,22 -3 -26 92 -48,2489.237
# S 2337
2337,OK,1,921585,2,10,17,40 6 37 17 -71,339.421
# S 2387
2387,OK,1,384973,2,10,15,30 15 -1 20 -13,1.649
# S 2437
2437,OK,1,643105,2,10,16,12 -53 -4 5 -22,19.725
# S 2487
2487,OK,1,509369,2,10,16,15 -23 -15 -26 -23,35.691
# S 2537
2537,OK,1,448620,2,10,16,76 -14 -2 -17 19,66.181
# S 2587
2587,OK,1,946825,2,10,16,64 8 35 -38 0,324.145
# S 2637
2637,OK,1,987701,2,10,16,4 -27 5 6 -37,19.062
# S 2687
2687,OK,1,1350729,2,11,14,4 1 -5 7 -4,0.301
# S 2737
2737,OK,1,438877,2,10,16,23 -47 35 15 0,306.813
# S 2787
2787,OK,1,616181,2,10,16,22 -50 33 2 -6,242.863
# S 2837
2837,OK,1,882532,2,10,16,10 9 -6 39 19,34.428
# S 2887
2887,OK,1,1179696,2,11,15,14 -1 -25 -7 -21,0.744
# S 2937
2937,OK,1,706069,2,10,15,11 -3 -12 -19 6,5.956
# S 2987
2987,OK,1,124564,2,9,16,103 -37 32 3 -7,155.994
# S 3037
3037,OK,1,1190824,2,11,16,11 30 -5 -29 29,47.914
# S 3087
3087,OK,1,764096,2,10,16,39 -39 11 -41 3,279.215
# S 3137
3137,OK,1,965205,2,10,16,40 -28 -13 36 -11,198.396
# S 3187
3187,OK,1,1010856,2,10,16,22 55 14 10 12,182.562
# S 3237
3237,OK,1,233856,2,9,16,42 28 3 -15 -26,26.485
# S 3287
3287,OK,1,714837,2,10,16,42 15 -17 22 18,125.676
# S 3337
3337,OK,1,634412,2,10,16,30 19 7 41 -11,136.694
# S 3387
3387,OK,1,911320,2,10,16,60 18 -23 -1 16,90.616
# S 3437
3437,OK,1,431013,2,10,16,53 49 35 6 -16,123.14
# S 3487
3487,OK,1,784465,2,10,16,5 12 43 -13 -4,280.961
# S 3537
3537,OK,1,599140,2,10,16,80 -1 8 3 -4,264.671
# S 3587
3587,OK,1,816984,2,10,15,19 0 17 -8 -15,1.209
# S 3637
3637,OK,1,1190552,2,11,17,25 6 -12 22 87,433.998
# S 3687
3687,OK,1,944972,2,10,16,33 33 -19 19 17,121.659
# S 3737
3737,OK,1,649768,2,10,16,3 57 -19 23 -18,111.586
# S 3787
3787,OK,1,576296,2,10,15,12 23 18 6 -6,4.529
# S 3837
3837,OK,1,1097761,2,11,16,57 -15 40 -45 -6,244.071
# S 3887
3887,OK,1,791585,2,10,17,3 -22 19 15 -81,319.303
# S 3937
3937,OK,1,444956,2,10,16,23 -32 -23 19 -19,95.652
# S 3987
3987,OK,1,431901,2,10,16,3 -11 0 34 9,182.74
# S 4037
4037,OK,1,582557,2,10,16,22 52 40 4 11,162.802
# S 4087
4087,OK,1,1222788,2,11,16,20 57 10 -25 2,318.332
# S 4137
4137,OK,1,526032,2,10,16,5 35 7 19 -15,38.801
# S 4187
4187,OK,1,893088,2,10,16,68 -29 2 11 -16,154.84
# S 4237
4237,OK,1,1212604,2,11,16,25 -35 -28 -8 -42,17.562
# S 4287
4287,OK,1,869088,2,10,15,19 29 -1 15 -4,8.048
# S 4337
4337,OK,1,1057044,2,11,15,8 31 1 -4 4,8.567
# S 4387
4387,OK,1,1271861,2,11,16,27 11 -28 -24 -11,174.313
# S 4437
4437,OK,1,888508,2,10,16,32 32 -6 23 -31,22.078
# S 4487
4487,OK,1,480657,2,10,17,42 7 -11 -9 -75,366.899
# S 4537
4537,OK,1,646449,2,10,16,21 -45 5 12 -21,51.631
# S 4587
4587,OK,1,800229,2,10,16,50 21 36 22 6,240.537
# S 4637
4637,OK,1,640580,2,10,17,44 39 50 15 51,406.563
# S 4687
4687,OK,1,193033,2,9,16,37 11 10 -2 -35,10.397
# S 4737
4737,OK,1,985729,2,10,17,95 -112 -34 -17 -52,992.871
# S 4787
4787,OK,1,1171525,2,11,16,46 -14 28 -21 1,325.681
# S 4837
4837,OK,1,426588,2,10,17,111 -8 89 -6 16,955.283
# S 4887
4887,OK,1,663325,2,10,16,36 24 -46 21 -7,99.886
# S 4937
4937,OK,1,842201,2,10,16,34 9 -24 -20 28,19.37
# S 4987
4987,OK,1,1271964,2,11,17,25 -80 -12 31 92,363.093
# S 5037
5037,OK,1,986452,2,10,16,17 -5 -13 -36 -33,32.732
# S 5087
5087,OK,1,1177225,2,11,16,2 1 56 -13 -9,220.981
# S 5137
5137,OK,1,1006553,2,10,16,13 26 -30 29 -15,110.984
# S 5187
5187,OK,1,453360,2,10,16,8 -2 -18 11 -32,10.979
# S 5237
5237,OK,1,1169581,2,11,15,4 -25 16 -8 1,11.544
# S 5287
5287,OK,1,1254273,2,11,16,18 14 -30 -32 51,12.584
# S 5337
5337,OK,1,1064980,2,11,16,8 -41 -3 13 37,26.63
# S 5387
5387,OK,1,509112,2,10,16,26 -25 -7 33 -23,64.046
# S 5437
5437,OK,1,417488,2,10,14,7 3 6 8 -4,0.19
# S 5487
5487,OK,1,1462936,2,11,17,64 19 1 -16 79,820.75
# S 5537
5537,OK,1,1119812,2,11,15,15 3 12 -15 4,9.151
# S 5587
