# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 23 of = 50
# kmax_cap = 33
# generated = 2026-08-27 19:22:34 host = bp1-compute082
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 24
24,OK,1,923428,2,10,16,6 -45 14 -22 -25,30.08
# S 74
74,OK,1,323905,2,10,16,16 34 -11 21 -19,41.916
# S 124
124,OK,1,321772,2,10,16,106 -28 -6 -2 -11,98.283
# S 174
174,OK,1,359680,2,10,15,1 32 16 2 -2,7.008
# S 224
224,OK,1,1095801,2,11,16,48 5 1 35 -23,68.97
# S 274
274,OK,1,375832,2,10,15,21 19 -12 -6 -10,2.589
# S 324
324,OK,1,512921,2,10,16,16 -24 -19 1 27,16.603
# S 374
374,OK,1,906236,2,10,16,12 50 -11 -16 -13,149.591
# S 424
424,OK,1,1316256,2,11,16,6 12 -20 -9 38,28.621
# S 474
474,OK,1,1156740,2,11,16,7 -11 -29 36 39,16.137
# S 524
524,OK,1,806072,2,10,16,41 -17 4 -12 -35,12.202
# S 574
574,OK,1,1191753,2,11,16,6 24 35 47 6,229.471
# S 624
624,OK,1,1043432,2,10,16,28 -42 4 -3 -24,58.781
# S 674
674,OK,1,577577,2,10,17,85 -52 51 -33 -59,303.244
# S 724
724,OK,1,96653,2,9,15,11 -17 14 0 -3,5.387
# S 774
774,OK,1,982828,2,10,15,3 -27 3 -4 1,9.994
# S 824
824,OK,1,570028,2,10,16,27 27 18 34 20,53.748
# S 874
874,OK,1,817517,2,10,16,32 -2 -18 1 38,11.335
# S 924
924,OK,1,1155744,2,11,15,0 26 2 -7 -15,1.744
# S 974
974,OK,1,565617,2,10,15,7 -21 14 3 -7,4.731
# S 1024
1024,OK,1,842669,2,10,16,73 7 10 11 15,100.793
# S 1074
1074,OK,1,427104,2,10,16,73 -16 -20 -8 -14,129.129
# S 1124
1124,OK,1,1417000,2,11,16,7 3 -44 -21 17,122.497
# S 1174
1174,OK,1,804348,2,10,15,7 8 7 -14 -17,0.597
# S 1224
1224,OK,1,1036581,2,10,16,55 22 -15 -5 -12,157.854
# S 1274
1274,OK,1,795812,2,10,16,7 26 21 -33 29,40.041
# S 1324
1324,OK,1,831372,2,10,16,14 55 -3 -22 -33,15.179
# S 1374
1374,OK,1,1058609,2,11,16,42 25 12 27 1,275.769
# S 1424
1424,OK,1,1224436,2,11,16,41 -6 -25 -15 -16,133.618
# S 1474
1474,OK,1,867568,2,10,15,11 11 2 -18 -9,3.172
# S 1524
1524,OK,1,1033476,2,10,15,24 -1 -9 14 -8,5.154
# S 1574
1574,OK,1,1056316,2,11,14,9 -2 0 6 6,0.073
# S 1624
1624,OK,1,953677,2,10,16,12 -33 47 19 -25,69.955
# S 1674
1674,OK,1,452657,2,10,16,15 38 -10 12 13,98.555
# S 1724
1724,OK,1,248868,2,9,17,11 22 2 5 -53,279.105
# S 1774
1774,OK,1,704833,2,10,17,60 18 -57 7 -41,366.11
# S 1824
1824,OK,1,1230132,2,11,16,44 5 10 -53 17,147.463
# S 1874
1874,OK,1,517616,2,10,16,41 30 -43 5 -22,73.804
# S 1924
1924,OK,1,971796,2,10,16,57 25 25 26 28,36.139
# S 1974
1974,OK,1,689977,2,10,16,4 6 22 -13 29,15.741
# S 2024
2024,OK,1,919524,2,10,16,40 4 8 4 -43,11.258
# S 2074
2074,OK,1,1016016,2,10,15,14 14 -1 -15 -10,3.965
# S 2124
2124,OK,1,963184,2,10,15,20 -8 -19 18 3,7.855
# S 2174
2174,OK,1,605904,2,10,15,10 17 -8 4 -14,0.733
# S 2224
2224,OK,1,1371100,2,11,17,38 77 52 30 -67,1065.354
# S 2274
2274,OK,1,1330560,2,11,16,16 0 47 14 34,36.936
# S 2324
2324,OK,1,629932,2,10,15,21 14 14 -8 14,1.208
# S 2374
2374,OK,1,1218485,2,11,17,20 -73 -17 52 -58,1678.586
# S 2424
2424,OK,1,365629,2,10,17,69 -62 47 -25 -52,325.711
# S 2474
2474,OK,1,758969,2,10,16,57 -23 -28 9 -18,38.28
# S 2524
2524,OK,1,283536,2,10,15,1 19 2 13 11,2.195
# S 2574
2574,OK,1,465929,2,10,16,48 52 -1 -24 5,212.644
# S 2624
2624,OK,1,188429,2,9,16,9 -10 -11 37 -18,58.936
# S 2674
2674,OK,1,455565,2,10,15,25 -10 18 4 -9,2.428
# S 2724
2724,OK,1,775616,2,10,15,9 -12 -11 13 11,1.432
# S 2774
2774,OK,1,799049,2,10,15,21 32 11 5 -8,4.24
# S 2824
2824,OK,1,1226756,2,11,16,27 -15 -13 32 -27,48.283
# S 2874
2874,OK,1,679832,2,10,17,54 -7 57 45 -61,730.749
# S 2924
2924,OK,1,640965,2,10,15,3 12 -18 1 12,2.434
# S 2974
2974,OK,1,438253,2,10,16,20 -31 10 6 -22,23.691
# S 3024
3024,OK,1,1073328,2,11,16,43 -35 35 -44 -18,86.417
# S 3074
3074,OK,1,1128521,2,11,16,37 -37 -16 -24 -19,98.542
# S 3124
3124,OK,1,770164,2,10,17,2 12 -89 47 28,1590.227
# S 3174
3174,OK,1,760716,2,10,16,25 -12 4 -23 22,51.99
# S 3224
3224,OK,1,488228,2,10,14,10 -2 -9 -2 3,0.136
# S 3274
3274,OK,1,638588,2,10,16,32 29 -32 -36 -1,241.79
# S 3324
3324,OK,1,414692,2,10,16,22 -23 10 -12 31,14.787
# S 3374
3374,OK,1,1109801,2,11,16,16 9 -2 25 -30,30.287
# S 3424
3424,OK,1,325789,2,10,16,93 -15 13 4 12,97.129
# S 3474
3474,OK,1,525528,2,10,16,48 -31 2 5 29,40.199
# S 3524
3524,OK,1,495061,2,10,16,73 4 36 -15 16,115.152
# S 3574
3574,OK,1,682529,2,10,17,21 79 27 -11 68,284.089
# S 3624
3624,OK,1,545545,2,10,16,64 49 -11 13 9,50.003
# S 3674
