# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 26 of = 50
# kmax_cap = 33
# generated = 2026-08-27 20:32:18 host = bp1-compute062
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 27
27,OK,1,1163417,2,11,17,54 -45 13 39 -78,522.061
# S 77
77,OK,1,598396,2,10,16,31 -39 14 -23 -29,27.178
# S 127
127,OK,1,1055072,2,11,16,30 -32 -23 -16 -29,36.717
# S 177
177,OK,1,227832,2,9,16,38 22 -9 -10 19,12.193
# S 227
227,OK,1,1161288,2,11,15,9 -11 24 2 10,3.618
# S 277
277,OK,1,1113113,2,11,15,6 -23 4 0 -18,1.166
# S 327
327,OK,1,937036,2,10,16,53 3 -16 30 8,182.535
# S 377
377,OK,1,1453521,2,11,16,33 -22 25 4 -32,28.737
# S 427
427,OK,1,610568,2,10,16,18 21 -2 43 -18,93.353
# S 477
477,OK,1,463513,2,10,15,0 13 -23 -16 -1,8.403
# S 527
527,OK,1,1135761,2,11,16,33 57 19 -22 -15,129.783
# S 577
577,OK,1,1189448,2,11,16,7 22 23 11 38,10.9
# S 627
627,OK,1,651577,2,10,15,14 -2 14 -4 11,2.193
# S 677
677,OK,1,1185056,2,11,16,14 -5 25 55 25,76.173
# S 727
727,OK,1,812789,2,10,17,12 -20 -66 33 -75,329.871
# S 777
777,OK,1,1117633,2,11,15,3 13 -13 -7 -16,1.347
# S 827
827,OK,1,394580,2,10,16,16 39 17 24 10,134.377
# S 877
877,OK,1,539873,2,10,15,21 -11 -2 19 4,4.034
# S 927
927,OK,1,928457,2,10,15,1 -5 -22 -16 -8,3.488
# S 977
977,OK,1,747536,2,10,16,49 0 14 10 28,37.86
# S 1027
1027,OK,1,1174168,2,11,15,22 9 25 9 -16,1.895
# S 1077
1077,OK,1,1188841,2,11,15,19 17 1 -13 -17,0.792
# S 1127
1127,OK,1,1198321,2,11,16,19 35 -4 -13 -34,30.328
# S 1177
1177,OK,1,809740,2,10,17,66 -77 -21 42 -61,492.165
# S 1227
1227,OK,1,907437,2,10,17,89 4 -41 28 -67,397.198
# S 1277
1277,OK,1,807160,2,10,16,10 50 -30 9 6,213.096
# S 1327
1327,OK,1,912100,2,10,17,5 -27 -43 27 -72,355.892
# S 1377
1377,OK,1,527101,2,10,16,3 50 36 3 -19,49.303
# S 1427
1427,OK,1,276564,2,10,16,2 -55 -6 -4 11,62.329
# S 1477
1477,OK,1,1216161,2,11,16,10 -25 -3 -42 -13,138.928
# S 1527
1527,OK,1,727913,2,10,16,15 34 41 16 8,169.913
# S 1577
1577,OK,1,1430581,2,11,16,4 -20 37 23 15,149.406
# S 1627
1627,OK,1,1125564,2,11,15,7 8 9 -20 -3,7.999
# S 1677
1677,OK,1,791428,2,10,16,6 36 48 -2 9,184.47
# S 1727
1727,OK,1,1075085,2,11,16,37 -22 -21 -26 19,123.238
# S 1777
1777,OK,1,771657,2,10,16,5 12 -3 17 29,9.973
# S 1827
1827,OK,1,1141669,2,11,17,40 -26 -56 31 -87,332.942
# S 1877
1877,OK,1,1251924,2,11,14,8 6 7 -11 0,0.426
# S 1927
1927,OK,1,400024,2,10,16,17 -22 -3 39 -6,206.333
# S 1977
1977,OK,1,473312,2,10,16,90 8 9 -5 21,70.806
# S 2027
2027,OK,1,371121,2,10,14,5 0 -9 5 -6,0.056
# S 2077
2077,OK,1,426264,2,10,16,9 0 23 25 -9,80.144
# S 2127
2127,OK,1,803776,2,10,16,12 37 -43 5 28,39.53
# S 2177
2177,OK,1,1216861,2,11,14,14 -4 3 -1 2,0.325
# S 2227
2227,OK,1,1216592,2,11,15,4 3 24 13 6,5.963
# S 2277
2277,OK,1,715252,2,10,16,43 -26 -24 4 26,17.298
# S 2327
2327,OK,1,378356,2,10,16,19 -53 -2 -14 19,133.752
