# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 30 of = 50
# kmax_cap = 33
# generated = 2026-08-28 00:59:16 host = bp1-compute100
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 31
31,OK,1,329461,2,10,16,20 -13 0 -40 -23,43.836
# S 81
81,OK,1,760781,2,10,14,-2 11 4 -3 0,0.388
# S 131
131,OK,1,739585,2,10,16,29 -9 16 47 18,90.89
# S 181
181,OK,1,1162993,2,11,16,9 44 -10 -14 25,67.779
# S 231
231,OK,1,951856,2,10,15,9 -12 -23 -1 4,6.11
# S 281
281,OK,1,1215112,2,11,16,50 5 13 11 -32,43.734
# S 331
331,OK,1,435016,2,10,16,33 -38 -24 30 -40,12.178
# S 381
381,OK,1,653197,2,10,16,22 17 -42 -9 -11,117.075
# S 431
431,OK,1,1075077,2,11,16,17 50 -14 19 -14,162.578
# S 481
481,OK,1,289169,2,10,16,6 18 -25 33 27,14.814
# S 531
531,OK,1,796825,2,10,15,31 -4 -2 -3 7,2.902
# S 581
581,OK,1,476956,2,10,17,139 -26 -28 46 39,2033.447
# S 631
631,OK,1,440976,2,10,15,41 27 1 6 0,9.065
# S 681
681,OK,1,402909,2,10,16,29 23 0 40 27,21.301
# S 731
731,OK,1,1227176,2,11,15,15 10 -20 -7 -4,6.991
# S 781
781,OK,1,953660,2,10,17,42 -39 -54 20 61,398.972
# S 831
831,OK,1,997464,2,10,15,7 17 -5 -10 13,1.469
# S 881
881,OK,1,834869,2,10,16,58 -9 2 -11 16,106.585
# S 931
931,OK,1,760616,2,10,16,16 -11 -21 11 -42,11.224
# S 981
981,OK,1,620056,2,10,16,15 34 -9 12 -25,14.517
# S 1031
1031,OK,1,382733,2,10,16,38 18 -1 25 -36,11.829
# S 1081
1081,OK,1,1503945,2,11,17,77 85 7 15 -87,332.197
# S 1131
1131,OK,1,423684,2,10,16,78 51 20 4 13,119.118
# S 1181
1181,OK,1,339605,2,10,16,24 -20 -8 22 -19,26.855
# S 1231
1231,OK,1,671489,2,10,16,21 17 0 -12 37,14.834
# S 1281
1281,OK,1,1031837,2,10,16,50 10 -3 -3 23,75.576
# S 1331
1331,OK,1,138800,2,9,16,55 -4 -15 -13 22,40.867
# S 1381
1381,OK,1,1208381,2,11,15,2 26 -2 17 8,4.171
# S 1431
1431,OK,1,249760,2,9,15,17 25 -11 7 4,5.225
# S 1481
1481,OK,1,661393,2,10,16,35 -43 -33 2 30,14.877
# S 1531
1531,OK,1,678236,2,10,16,38 -31 15 3 -37,16.026
# S 1581
1581,OK,1,578017,2,10,15,15 6 4 -16 11,1.828
# S 1631
1631,OK,1,551068,2,10,16,41 15 12 -30 -26,27.581
# S 1681
1681,OK,1,226197,2,9,16,11 7 0 17 -23,21.372
# S 1731
1731,OK,1,805496,2,10,17,1 44 -43 16 76,406.877
# S 1781
1781,OK,1,1387785,2,11,15,5 9 8 -18 0,10.611
# S 1831
1831,OK,1,423025,2,10,16,30 23 27 -12 -26,42.806
# S 1881
1881,OK,1,1079352,2,11,16,39 1 10 -32 15,108.198
# S 1931
1931,OK,1,521448,2,10,16,39 -7 36 -11 -10,161.376
# S 1981
1981,OK,1,1212225,2,11,17,52 -29 27 42 72,726.142
# S 2031
2031,OK,1,966420,2,10,16,4 11 36 23 21,94.372
# S 2081
2081,OK,1,86496,2,9,17,11 2 -20 53 -23,537.197
# S 2131
2131,OK,1,654277,2,10,16,22 52 4 4 -11,154.659
# S 2181
2181,OK,1,961640,2,10,16,50 -31 -9 5 -9,154.519
# S 2231
2231,OK,1,514017,2,10,14,6 -3 -11 -2 -3,0.158
# S 2281
2281,OK,1,1278881,2,11,16,10 -22 -14 49 22,82.068
# S 2331
2331,OK,1,872152,2,10,16,8 34 50 3 10,166.043
# S 2381
2381,OK,1,1015825,2,10,15,17 -17 -15 -2 14,1.302
# S 2431
2431,OK,1,369284,2,10,16,26 -41 37 -17 -26,15.218
# S 2481
2481,OK,1,1339684,2,11,16,24 6 20 -60 -15,142.044
# S 2531
2531,OK,1,846893,2,10,16,22 28 24 -35 -11,177.455
# S 2581
2581,OK,1,711596,2,10,16,9 38 -4 -5 23,28.0
# S 2631
2631,OK,1,716552,2,10,16,10 35 -37 11 13,141.167
# S 2681
2681,OK,1,94920,2,9,15,14 -11 -1 14 -8,2.527
# S 2731
2731,OK,1,980924,2,10,16,36 8 -19 -36 41,17.383
# S 2781
2781,OK,1,949313,2,10,16,7 -11 18 -1 47,10.725
# S 2831
2831,OK,1,755040,2,10,15,34 8 -5 2 5,3.52
# S 2881
2881,OK,1,1453912,2,11,15,0 19 -11 9 2,9.418
# S 2931
2931,OK,1,992128,2,10,16,8 36 19 9 -24,27.749
# S 2981
2981,OK,1,1275092,2,11,17,2 -54 13 -70 -68,389.856
# S 3031
3031,OK,1,747141,2,10,16,18 -16 -42 -25 10,144.882
# S 3081
3081,OK,1,649744,2,10,16,-12 6 -21 -29 -32,19.185
# S 3131
3131,OK,1,562788,2,10,16,57 25 23 34 -25,63.798
# S 3181
3181,OK,1,1084385,2,11,16,7 -28 -41 -17 29,48.869
# S 3231
3231,OK,1,1288680,2,11,16,23 -30 43 -11 38,25.698
# S 3281
3281,OK,1,394812,2,10,16,6 32 17 1 17,16.176
# S 3331
3331,OK,1,1420636,2,11,16,7 -5 -8 45 28,56.905
# S 3381
3381,OK,1,753881,2,10,16,46 -1 -18 -15 -19,32.722
# S 3431
3431,OK,1,802104,2,10,16,1 -9 -10 31 -14,130.55
# S 3481
3481,OK,1,882569,2,10,16,13 9 -11 22 36,10.175
# S 3531
3531,OK,1,650524,2,10,16,13 3 29 3 33,24.316
# S 3581
3581,OK,1,1420120,2,11,16,15 -32 27 -21 -35,24.693
# S 3631
3631,OK,1,339513,2,10,15,16 20 -1 5 -10,3.304
