# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 31 of = 50
# kmax_cap = 33
# generated = 2026-08-28 01:38:41 host = bp1-compute064
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 32
32,OK,1,629665,2,10,16,3 -53 -17 20 18,69.71
# S 82
82,OK,1,1196944,2,11,15,15 8 -7 18 -9,3.637
# S 132
132,OK,1,738696,2,10,17,38 -1 2 -72 -52,625.648
# S 182
182,OK,1,713085,2,10,16,60 -13 16 16 15,139.165
# S 232
232,OK,1,1068033,2,11,15,12 10 4 12 13,1.069
# S 282
282,OK,1,890609,2,10,17,9 -9 88 -88 -84,504.263
# S 332
332,OK,1,276173,2,10,17,36 -45 44 -20 58,605.855
# S 382
382,OK,1,1040552,2,10,16,9 16 -42 38 -22,114.16
# S 432
432,OK,1,550580,2,10,16,35 34 24 -1 0,307.655
# S 482
482,OK,1,779256,2,10,16,11 53 4 -3 18,106.415
# S 532
532,OK,1,826672,2,10,16,10 -16 36 15 26,52.557
# S 582
582,OK,1,475737,2,10,16,27 29 20 -31 -9,198.198
# S 632
632,OK,1,809777,2,10,14,11 11 -1 3 3,0.272
# S 682
682,OK,1,1031001,2,10,15,13 20 -9 8 16,0.989
# S 732
732,OK,1,1109181,2,11,16,12 29 -8 -6 32,12.138
# S 782
782,OK,1,816604,2,10,16,34 -19 37 -20 3,282.947
# S 832
832,OK,1,431880,2,10,15,17 13 -1 -7 -12,1.806
# S 882
882,OK,1,1020577,2,10,16,44 -7 32 -4 34,32.108
# S 932
932,OK,1,277961,2,10,15,37 -14 -19 7 1,8.993
# S 982
982,OK,1,1036521,2,10,17,41 -53 2 37 -70,428.352
# S 1032
1032,OK,1,1120288,2,11,14,2 2 2 12 5,0.102
# S 1082
1082,OK,1,691900,2,10,16,73 3 9 -7 -9,212.409
# S 1132
1132,OK,1,959176,2,10,15,21 6 5 -8 -16,1.243
# S 1182
1182,OK,1,706476,2,10,16,6 -57 36 -5 17,106.207
# S 1232
1232,OK,1,1075804,2,11,16,25 -20 -18 3 29,51.326
# S 1282
1282,OK,1,597860,2,10,16,40 27 25 -30 -11,163.022
# S 1332
1332,OK,1,534149,2,10,16,46 22 26 3 23,26.69
# S 1382
1382,OK,1,687296,2,10,17,29 -13 -41 -17 67,456.46
# S 1432
1432,OK,1,1086200,2,11,16,14 -6 -11 -1 -40,21.04
# S 1482
1482,OK,1,531128,2,10,16,61 -1 -14 -4 22,27.869
# S 1532
1532,OK,1,1092817,2,11,16,46 28 27 6 38,22.666
# S 1582
1582,OK,1,949577,2,10,17,25 10 -28 -16 73,346.393
# S 1632
1632,OK,1,1160324,2,11,16,18 13 25 -59 26,60.759
# S 1682
1682,OK,1,1240009,2,11,16,22 14 26 26 -41,24.158
# S 1732
1732,OK,1,504836,2,10,15,0 9 3 9 -19,0.428
# S 1782
1782,OK,1,860009,2,10,16,43 -9 35 4 22,60.326
# S 1832
1832,OK,1,1180388,2,11,15,-13 -32 1 -9 -5,7.088
# S 1882
1882,OK,1,1181689,2,11,15,13 18 4 -10 -17,1.436
# S 1932
1932,OK,1,1192849,2,11,16,6 29 -35 -27 -19,114.133
# S 1982
1982,OK,1,1016576,2,10,17,14 64 12 -27 -58,749.481
# S 2032
2032,OK,1,835301,2,10,16,0 30 1 -28 35,17.093
# S 2082
2082,OK,1,640465,2,10,16,34 -32 -1 32 3,277.301
# S 2132
2132,OK,1,1164160,2,11,16,2 11 -28 -42 12,215.905
# S 2182
2182,OK,1,854193,2,10,16,34 0 7 -17 44,13.226
# S 2232
2232,OK,1,496793,2,10,14,4 14 12 -5 -4,0.133
# S 2282
2282,OK,1,124121,2,9,16,89 -35 28 7 -10,162.32
# S 2332
2332,OK,1,1134529,2,11,17,23 -47 -16 -38 85,397.937
# S 2382
2382,OK,1,421217,2,10,16,57 -5 12 29 -28,41.043
# S 2432
2432,OK,1,883240,2,10,15,1 -10 -22 -4 5,7.548
# S 2482
2482,OK,1,681648,2,10,16,13 -18 41 4 -17,114.334
# S 2532
2532,OK,1,1229904,2,11,16,20 19 6 -8 40,17.916
# S 2582
2582,OK,1,799265,2,10,14,12 -1 -8 5 1,0.344
# S 2632
