# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 18 of = 50
# kmax_cap = 33
# generated = 2026-08-27 13:47:36 host = bp1-compute086
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 19
19,OK,1,595825,2,10,16,9 11 2 23 26,12.671
# S 69
69,OK,1,672657,2,10,16,6 25 0 19 -29,13.399
# S 119
119,OK,1,782492,2,10,15,23 17 7 -13 -2,7.741
# S 169
169,OK,1,670561,2,10,15,22 20 1 10 -3,6.994
# S 219
219,OK,1,704304,2,10,16,18 16 -1 -2 -28,16.104
# S 269
269,OK,1,745536,2,10,16,19 -29 2 36 11,155.536
# S 319
319,OK,1,637836,2,10,15,5 22 -10 13 -2,8.106
# S 369
369,OK,1,427760,2,10,16,22 -48 -4 2 25,31.42
# S 419
419,OK,1,1221077,2,11,16,35 30 11 20 -28,30.379
# S 469
469,OK,1,230177,2,9,15,6 28 -9 -3 8,2.408
# S 519
519,OK,1,1278501,2,11,16,19 -54 9 23 -8,218.714
# S 569
569,OK,1,931608,2,10,16,31 6 -12 -36 26,53.335
# S 619
619,OK,1,971312,2,10,16,23 -5 -14 -27 34,25.46
# S 669
669,OK,1,1099997,2,11,14,2 5 7 -1 9,0.025
# S 719
719,OK,1,965153,2,10,16,27 -33 -34 -27 37,14.505
# S 769
769,OK,1,1072289,2,11,16,0 5 20 52 -4,240.464
# S 819
819,OK,1,602893,2,10,16,55 32 -2 3 17,56.913
# S 869
869,OK,1,680985,2,10,16,52 -44 -28 -13 -13,87.158
# S 919
919,OK,1,628732,2,10,16,27 31 2 19 36,31.56
# S 969
969,OK,1,389209,2,10,16,4 39 25 44 5,201.572
# S 1019
1019,OK,1,913620,2,10,17,5 41 56 -21 61,457.686
# S 1069
1069,OK,1,805820,2,10,17,72 14 -28 -10 -67,674.96
# S 1119
1119,OK,1,924313,2,10,16,9 44 19 -16 24,59.129
# S 1169
1169,OK,1,837520,2,10,16,14 23 -57 14 16,85.894
# S 1219
1219,OK,1,870981,2,10,17,60 -3 -5 -41 -58,576.792
# S 1269
1269,OK,1,235657,2,9,16,96 8 -14 7 -19,41.328
# S 1319
1319,OK,1,680005,2,10,17,48 -6 -13 18 70,264.64
# S 1369
1369,OK,1,662189,2,10,16,64 11 -33 -10 5,211.461
# S 1419
1419,OK,1,769277,2,10,16,6 -2 14 47 16,109.564
# S 1469
