# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 32 of = 50
# kmax_cap = 33
# generated = 2026-08-28 02:39:27 host = bp1-compute123
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 33
33,OK,1,1027824,2,10,15,15 1 26 7 -7,9.179
# S 83
83,OK,1,691157,2,10,16,48 17 -30 -17 -36,25.924
# S 133
133,OK,1,1109089,2,11,16,45 -52 25 2 25,78.048
# S 183
183,OK,1,614453,2,10,16,18 41 30 -25 -21,25.309
# S 233
233,OK,1,1250637,2,11,15,13 20 1 -9 11,3.685
# S 283
283,OK,1,689940,2,10,16,1 32 -26 14 -28,50.736
# S 333
333,OK,1,662649,2,10,16,13 14 -13 -25 27,17.702
# S 383
383,OK,1,883460,2,10,16,25 -44 30 -22 23,36.055
# S 433
433,OK,1,772849,2,10,17,65 -46 -27 -9 70,589.864
# S 483
483,OK,1,1086625,2,11,16,26 -35 29 -4 28,37.099
# S 533
533,OK,1,1378012,2,11,16,32 5 -25 -11 14,166.11
# S 583
583,OK,1,197713,2,9,14,5 16 -2 3 -2,1.804
# S 633
633,OK,1,626161,2,10,15,9 -19 -7 13 -2,8.77
# S 683
683,OK,1,768596,2,10,16,46 14 15 27 -24,60.518
# S 733
733,OK,1,535873,2,10,17,47 -44 62 8 77,309.329
# S 783
783,OK,1,1167393,2,11,15,22 2 -13 16 -5,7.723
# S 833
833,OK,1,480849,2,10,16,38 -16 -27 36 17,26.763
# S 883
883,OK,1,830849,2,10,16,14 -36 51 -20 19,67.143
# S 933
933,OK,1,1183320,2,11,15,5 -18 12 -12 14,1.925
# S 983
983,OK,1,609608,2,10,16,12 -7 -17 -39 13,122.779
# S 1033
1033,OK,1,133084,2,9,15,20 -11 -12 0 11,0.966
# S 1083
1083,OK,1,601629,2,10,15,36 -13 -2 -3 -9,2.272
# S 1133
1133,OK,1,1364729,2,11,15,33 10 -13 -4 -4,8.455
# S 1183
1183,OK,1,1267692,2,11,16,28 -22 -23 -24 17,148.521
# S 1233
1233,OK,1,572704,2,10,16,43 -36 5 -23 -22,55.402
# S 1283
1283,OK,1,1018525,2,10,15,10 -25 2 8 -4,8.473
# S 1333
1333,OK,1,642516,2,10,16,24 3 -20 7 -34,15.733
# S 1383
1383,OK,1,816848,2,10,16,57 12 -18 -2 -13,68.598
# S 1433
1433,OK,1,831716,2,10,16,2 -56 0 25 21,87.566
# S 1483
1483,OK,1,1005177,2,10,16,21 -22 -25 -13 -14,166.745
# S 1533
1533,OK,1,324977,2,10,16,38 10 -8 1 -32,11.778
# S 1583
1583,OK,1,274425,2,10,16,91 15 12 -17 -15,114.313
# S 1633
1633,OK,1,885716,2,10,15,15 -27 2 9 -5,6.923
# S 1683
1683,OK,1,556897,2,10,13,2 0 0 6 -3,0.012
# S 1733
1733,OK,1,988769,2,10,16,11 -2 27 -7 44,12.953
# S 1783
1783,OK,1,986096,2,10,16,-6 -25 46 28 -12,141.109
# S 1833
1833,OK,1,400452,2,10,16,53 5 16 16 -28,13.328
# S 1883
1883,OK,1,1084149,2,11,16,50 -40 -39 15 -26,42.144
# S 1933
1933,OK,1,350212,2,10,16,25 -23 52 -12 -1,269.371
# S 1983
1983,OK,1,623400,2,10,16,27 -16 -23 -16 31,31.725
# S 2033
2033,OK,1,1231088,2,11,16,28 7 -13 -23 20,82.764
# S 2083
2083,OK,1,371760,2,10,16,69 0 -36 -24 4,237.058
# S 2133
2133,OK,1,687953,2,10,16,6 17 24 -31 -26,42.499
# S 2183
2183,OK,1,955097,2,10,15,18 -6 15 8 -3,7.479
# S 2233
2233,OK,1,717276,2,10,16,19 -18 -34 -12 -16,118.326
# S 2283
2283,OK,1,986820,2,10,16,8 53 -14 -5 17,144.922
# S 2333
2333,OK,1,1062101,2,11,16,19 -37 -14 -7 24,44.242
# S 2383
2383,OK,1,1041692,2,10,16,27 -15 -39 35 12,176.997
# S 2433
2433,OK,1,941280,2,10,15,3 32 -4 -3 6,5.535
# S 2483
2483,OK,1,395953,2,10,16,10 27 0 23 -36,10.434
# S 2533
2533,OK,1,392944,2,10,13,12 2 -3 -1 -1,0.012
# S 2583
2583,OK,1,323572,2,10,16,22 -43 1 -16 -3,257.01
# S 2633
2633,OK,1,1357437,2,11,17,21 18 -25 -89 -92,469.624
# S 2683
2683,OK,1,1290861,2,11,16,47 -7 8 14 35,15.293
# S 2733
2733,OK,1,894453,2,10,14,11 -7 3 -1 -7,0.055
# S 2783
2783,OK,1,685441,2,10,16,10 -7 -12 -24 40,15.377
# S 2833
2833,OK,1,1198997,2,11,16,9 -18 34 -17 39,14.605
# S 2883
2883,OK,1,1297225,2,11,16,31 -32 -9 45 -4,293.121
# S 2933
2933,OK,1,617165,2,10,16,2 7 10 -17 -47,11.159
# S 2983
2983,OK,1,348565,2,10,17,70 76 33 -58 56,474.018
# S 3033
3033,OK,1,946632,2,10,16,17 -34 17 -17 36,22.334
# S 3083
3083,OK,1,853828,2,10,16,9 -16 40 26 25,47.272
# S 3133
3133,OK,1,476345,2,10,14,10 6 -2 -7 3,0.159
# S 3183
3183,OK,1,937476,2,10,16,67 -12 25 20 34,25.805
# S 3233
3233,OK,1,1263132,2,11,16,54 -10 -5 -26 -15,151.963
# S 3283
3283,OK,1,518652,2,10,16,23 6 32 34 8,215.062
# S 3333
3333,OK,1,1421685,2,11,17,69 1 40 63 106,349.233
# S 3383
3383,OK,1,800921,2,10,17,62 57 -64 8 61,744.183
# S 3433
3433,OK,1,574012,2,10,15,18 11 -6 4 -15,1.095
# S 3483
3483,OK,1,853592,2,10,16,6 18 -35 -27 17,157.92
# S 3533
3533,OK,1,1320616,2,11,16,21 -19 26 1 -38,23.996
# S 3583
3583,OK,1,544633,2,10,15,10 20 -16 8 -3,8.201
# S 3633
3633,OK,1,163436,2,9,16,143 -20 3 -8 0,287.929
# S 3683
3683,OK,1,477821,2,10,15,43 7 -1 -8 -5,5.447
# S 3733
3733,OK,1,822857,2,10,16,23 1 -2 16 -32,17.486
# S 3783
3783,OK,1,1049296,2,11,16,15 44 -1 -22 -35,19.441
# S 3833
3833,OK,1,1359833,2,11,15,10 24 -19 -16 2,10.971
# S 3883
3883,OK,1,972148,2,10,16,7 48 -22 8 -41,19.062
# S 3933
3933,OK,1,697152,2,10,15,9 -22 13 12 -1,10.637
# S 3983
3983,OK,1,832744,2,10,17,20 70 -34 -10 -65,415.008
# S 4033
4033,OK,1,610929,2,10,17,14 -15 56 14 58,312.558
# S 4083
4083,OK,1,1011184,2,10,15,0 3 8 -19 5,6.785
# S 4133
4133,OK,1,623860,2,10,16,14 5 52 -16 17,96.574
# S 4183
4183,OK,1,1357381,2,11,16,23 -7 -21 15 24,103.221
# S 4233
4233,OK,1,701628,2,10,17,70 12 -65 -7 68,508.259
# S 4283
4283,OK,1,868972,2,10,16,51 64 -3 17 -7,217.865
# S 4333
4333,OK,1,689656,2,10,16,58 -42 -12 -16 17,75.384
# S 4383
4383,OK,1,1012336,2,10,16,27 -22 -38 -18 26,71.712
# S 4433
4433,OK,1,937388,2,10,16,11 -3 -13 43 7,219.442
# S 4483
4483,OK,1,542580,2,10,16,28 5 -26 -11 -28,43.795
# S 4533
4533,OK,1,1021576,2,10,16,45 -9 -5 -34 21,82.62
# S 4583
4583,OK,1,858649,2,10,16,6 14 37 20 18,121.448
# S 4633
4633,OK,1,787868,2,10,14,8 6 7 7 -11,0.024
# S 4683
4683,OK,1,549364,2,10,16,27 -10 -27 1 -25,49.384
# S 4733
4733,OK,1,1538536,2,11,16,40 -8 16 -5 -20,145.281
# S 4783
4783,OK,1,760733,2,10,17,56 39 -44 -26 45,438.059
# S 4833
4833,OK,1,386445,2,10,17,14 42 62 70 -67,327.855
# S 4883
4883,OK,1,734329,2,10,15,7 30 -26 16 -3,6.123
# S 4933
4933,OK,1,404617,2,10,16,34 23 -51 7 8,72.411
# S 4983
4983,OK,1,1102460,2,11,15,30 -11 1 8 1,10.725
# S 5033
5033,OK,1,1023145,2,10,16,7 -27 50 -33 40,16.021
# S 5083
5083,OK,1,634577,2,10,16,17 13 18 25 -27,25.995
# S 5133
5133,OK,1,678449,2,10,16,35 41 -35 28 9,161.516
# S 5183
