# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 22 of = 50
# kmax_cap = 33
# generated = 2026-08-27 19:18:25 host = bp1-compute096
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 23
23,OK,1,1175105,2,11,17,8 -52 -57 17 76,410.394
# S 73
73,OK,1,900025,2,10,15,4 -30 -12 8 -5,6.368
# S 123
123,OK,1,762980,2,10,16,18 -28 -26 -15 -21,19.016
# S 173
173,OK,1,563613,2,10,15,6 -11 -6 -10 -13,1.729
# S 223
223,OK,1,388481,2,10,16,23 0 -29 20 -36,12.686
# S 273
273,OK,1,167392,2,9,15,65 0 6 -8 0,8.06
# S 323
323,OK,1,861265,2,10,16,36 3 13 28 23,40.429
# S 373
373,OK,1,494389,2,10,16,24 -29 -1 -27 32,21.793
# S 423
423,OK,1,677932,2,10,16,48 -31 16 -29 -17,69.296
# S 473
473,OK,1,666201,2,10,17,81 -47 74 14 -79,419.069
# S 523
523,OK,1,1083025,2,11,15,1 19 -13 9 -3,7.952
# S 573
573,OK,1,446280,2,10,16,1 -5 -27 11 24,20.146
# S 623
623,OK,1,1078540,2,11,16,36 -16 21 -18 6,227.367
# S 673
673,OK,1,796808,2,10,16,49 -23 -31 -9 -35,25.288
# S 723
723,OK,1,1255464,2,11,16,20 24 -6 -35 6,230.274
# S 773
773,OK,1,283229,2,10,16,22 -13 -38 -27 -20,73.921
# S 823
823,OK,1,1047408,2,10,16,51 56 -8 -5 6,205.961
# S 873
873,OK,1,1244968,2,11,16,26 -48 -7 0 19,102.782
# S 923
923,OK,1,583873,2,10,16,83 -9 20 6 -12,117.118
# S 973
973,OK,1,1010325,2,10,16,39 -47 -34 -19 -31,22.799
# S 1023
1023,OK,1,900336,2,10,15,1 -8 8 -14 -11,3.311
# S 1073
1073,OK,1,649449,2,10,17,3 -43 11 -62 -25,728.621
# S 1123
1123,OK,1,294833,2,10,16,4 55 -39 -2 -13,54.512
# S 1173
1173,OK,1,1012749,2,10,16,51 -3 31 18 -32,25.51
# S 1223
1223,OK,1,808017,2,10,14,0 1 3 -12 -3,0.047
# S 1273
1273,OK,1,660856,2,10,16,48 -39 -10 -15 8,168.559
# S 1323
1323,OK,1,858628,2,10,16,21 30 27 22 -20,79.739
# S 1373
1373,OK,1,690796,2,10,17,24 -17 -40 -64 70,479.089
# S 1423
1423,OK,1,739556,2,10,14,15 -2 -6 -8 0,0.365
# S 1473
1473,OK,1,690829,2,10,17,7 -29 16 -49 60,278.6
# S 1523
1523,OK,1,524000,2,10,16,69 -4 16 -27 -18,68.869
# S 1573
1573,OK,1,835532,2,10,16,31 -43 -2 24 32,22.39
# S 1623
1623,OK,1,788345,2,10,16,61 22 37 -10 8,133.789
# S 1673
1673,OK,1,643401,2,10,17,79 103 41 35 56,728.323
# S 1723
1723,OK,1,1126881,2,11,16,7 -1 -29 15 24,70.099
# S 1773
1773,OK,1,902204,2,10,16,1 -36 -2 -49 -12,52.691
# S 1823
1823,OK,1,690109,2,10,16,-40 20 -30 11 41,9.729
# S 1873
1873,OK,1,815497,2,10,15,17 -17 -18 -10 1,8.983
# S 1923
1923,OK,1,903733,2,10,16,29 -16 -13 6 -28,36.087
# S 1973
1973,OK,1,366289,2,10,16,100 -21 -7 24 8,161.168
# S 2023
2023,OK,1,553165,2,10,17,21 0 9 -20 76,361.034
# S 2073
2073,OK,1,213892,2,9,16,59 6 -28 -9 12,69.371
# S 2123
2123,OK,1,351697,2,10,16,21 3 -4 -32 12,134.212
# S 2173
2173,OK,1,1257156,2,11,15,17 -16 -18 2 7,5.757
# S 2223
2223,OK,1,912545,2,10,16,34 4 22 -31 -20,93.556
# S 2273
2273,OK,1,1028869,2,10,15,6 21 7 1 6,5.369
# S 2323
2323,OK,1,780993,2,10,16,8 -32 21 -9 21,26.867
# S 2373
2373,OK,1,618244,2,10,16,74 22 11 -14 -13,142.866
# S 2423
2423,OK,1,1027673,2,10,16,15 -34 -14 26 -19,105.229
# S 2473
2473,OK,1,792745,2,10,15,9 26 -4 -1 -7,4.87
# S 2523
2523,OK,1,1567260,2,11,16,2 0 -11 -29 47,16.065
# S 2573
2573,OK,1,676489,2,10,16,25 7 9 -24 29,11.245
# S 2623
2623,OK,1,877408,2,10,16,31 28 -13 11 15,109.131
# S 2673
2673,OK,1,1250125,2,11,16,34 -1 16 16 37,30.995
# S 2723
2723,OK,1,625656,2,10,15,8 27 -25 -6 6,2.955
# S 2773
2773,OK,1,552257,2,10,16,69 -33 -7 -13 10,128.275
# S 2823
2823,OK,1,788160,2,10,16,1 1 27 15 -38,9.651
# S 2873
2873,OK,1,1271440,2,11,15,26 19 -10 -9 -7,5.72
# S 2923
2923,OK,1,499728,2,10,16,0 61 -26 -17 -13,83.34
# S 2973
2973,OK,1,999921,2,10,16,66 33 -4 -4 -12,153.351
# S 3023
3023,OK,1,548704,2,10,16,55 16 4 0 24,25.852
# S 3073
3073,OK,1,314137,2,10,16,6 -1 32 -1 16,15.132
# S 3123
3123,OK,1,262865,2,10,17,99 13 18 46 41,486.008
# S 3173
3173,OK,1,760693,2,10,16,57 -38 7 -16 11,117.864
# S 3223
3223,OK,1,987013,2,10,16,48 51 46 11 -23,42.591
# S 3273
3273,OK,1,585661,2,10,17,77 81 15 -27 -57,303.032
# S 3323
3323,OK,1,484413,2,10,16,9 14 -5 12 -29,9.467
# S 3373
3373,OK,1,1094292,2,11,16,19 -1 -39 11 -21,82.298
# S 3423
3423,OK,1,642728,2,10,15,26 4 1 -21 -2,7.206
# S 3473
3473,OK,1,790920,2,10,17,84 -39 -4 7 50,338.909
# S 3523
3523,OK,1,826333,2,10,16,14 -6 8 -27 -33,18.795
# S 3573
3573,OK,1,765477,2,10,15,20 3 24 8 6,6.193
# S 3623
3623,OK,1,584833,2,10,15,11 -12 -17 5 12,0.403
# S 3673
3673,OK,1,491209,2,10,16,20 -27 -30 -6 -10,14.194
# S 3723
3723,OK,1,784928,2,10,16,28 -50 28 -9 15,116.276
# S 3773
3773,OK,1,879908,2,10,15,37 -4 14 14 10,3.669
# S 3823
3823,OK,1,238897,2,9,16,68 5 22 31 18,35.744
# S 3873
3873,OK,1,1265789,2,11,15,13 -26 12 -1 9,4.3
# S 3923
3923,OK,1,336177,2,10,17,102 45 -7 29 -77,262.636
# S 3973
3973,OK,1,818025,2,10,16,44 10 25 -1 -31,28.249
# S 4023
4023,OK,1,1157768,2,11,16,6 -12 66 16 -13,155.969
# S 4073
4073,OK,1,1114669,2,11,16,3 -43 -18 14 -22,84.596
# S 4123
4123,OK,1,942672,2,10,17,39 83 -10 32 63,495.368
# S 4173
4173,OK,1,1007417,2,10,15,22 -19 8 8 9,3.475
# S 4223
4223,OK,1,1150264,2,11,15,10 -19 3 23 -8,4.989
# S 4273
4273,OK,1,767589,2,10,15,39 15 7 -12 1,9.545
# S 4323
4323,OK,1,1427272,2,11,16,8 -56 -1 14 -23,94.335
# S 4373
4373,OK,1,1207657,2,11,16,52 4 20 -5 14,131.175
# S 4423
4423,OK,1,1260068,2,11,16,6 -24 5 -44 27,75.276
# S 4473
4473,OK,1,869228,2,10,16,33 9 -2 13 -35,10.839
# S 4523
4523,OK,1,1153056,2,11,16,11 62 17 0 -22,70.472
# S 4573
4573,OK,1,1352752,2,11,16,65 15 -6 -14 -24,74.078
# S 4623
4623,OK,1,378549,2,10,16,2 21 -7 -29 -14,106.814
# S 4673
4673,OK,1,842525,2,10,16,26 -41 41 2 -14,112.177
# S 4723
4723,OK,1,1049385,2,11,16,29 9 11 15 -39,12.4
# S 4773
4773,OK,1,976152,2,10,15,5 15 -31 -6 4,7.312
# S 4823
4823,OK,1,1115080,2,11,16,28 34 -25 -8 1,272.23
# S 4873
4873,OK,1,1115161,2,11,17,24 59 28 -71 -66,404.091
# S 4923
4923,OK,1,663381,2,10,16,20 9 -17 27 25,50.103
# S 4973
4973,OK,1,1083712,2,11,16,29 12 24 18 -37,18.517
# S 5023
5023,OK,1,842864,2,10,17,76 21 29 54 68,524.874
# S 5073
5073,OK,1,1042860,2,10,17,12 -28 -74 -45 55,838.984
# S 5123
5123,OK,1,623465,2,10,15,16 27 12 7 -3,4.544
# S 5173
5173,OK,1,1046641,2,10,16,36 -34 -9 7 15,137.599
# S 5223
5223,OK,1,1083657,2,11,15,10 19 3 16 17,1.451
# S 5273
5273,OK,1,1182321,2,11,16,31 17 -27 -6 -8,199.004
# S 5323
5323,OK,1,1020088,2,10,16,1 42 34 -10 -6,215.01
# S 5373
5373,OK,1,1021145,2,10,16,3 36 9 22 35,23.247
# S 5423
5423,OK,1,550441,2,10,16,5 15 -11 -22 26,42.215
# S 5473
5473,OK,1,804476,2,10,15,10 9 -2 2 -15,1.525
# S 5523
5523,OK,1,626464,2,10,16,27 36 20 -39 -11,101.568
# S 5573
5573,OK,1,412653,2,10,16,17 5 43 -31 13,116.342
# S 5623
5623,OK,1,230625,2,9,16,27 -32 3 -3 17,45.932
# S 5673
5673,OK,1,811116,2,10,15,15 -4 -25 -8 3,7.513
# S 5723
5723,OK,1,908725,2,10,14,11 4 -10 0 3,0.213
# S 5773
5773,OK,1,501649,2,10,16,10 5 24 -16 -32,9.267
# S 5823
5823,OK,1,752288,2,10,16,3 20 -34 -5 -43,10.165
# S 5873
5873,OK,1,1000985,2,10,14,4 8 7 5 -8,0.056
# S 5923
5923,OK,1,838385,2,10,17,5 26 -35 -18 94,283.65
# S 5973
5973,OK,1,966089,2,10,16,14 -3 -5 5 40,10.703
# S 6023
6023,OK,1,852300,2,10,16,22 34 -13 -50 1,272.733
# S 6073
6073,OK,1,757784,2,10,16,33 12 -3 -44 -30,40.16
# S 6123
6123,OK,1,604849,2,10,15,26 -6 13 -1 11,2.296
# S 6173
6173,OK,1,729372,2,10,15,13 -10 -14 18 2,8.141
# S 6223
6223,OK,1,656357,2,10,16,7 33 -45 -8 -8,169.27
# S 6273
6273,OK,1,440213,2,10,14,15 -6 0 7 -2,0.231
# S 6323
6323,OK,1,1229564,2,11,16,8 27 -2 -20 29,50.52
# S 6373
6373,OK,1,1409228,2,11,16,42 -43 -10 0 -45,15.606
# S 6423
6423,OK,1,420461,2,10,15,10 -28 -10 1 2,6.891
# S 6473
6473,OK,1,416836,2,10,16,19 -45 -41 13 -7,72.104
# S 6523
6523,OK,1,761661,2,10,16,49 -69 -9 -7 13,107.73
# S 6573
6573,OK,1,615920,2,10,14,1 11 7 -3 1,0.308
# S 6623
6623,OK,1,960268,2,10,16,1 -8 -19 22 -34,20.872
# S 6673
6673,OK,1,1181316,2,11,17,4 -63 -25 33 -88,326.164
# S 6723
6723,OK,1,489481,2,10,16,7 -22 9 38 11,105.195
# S 6773
6773,OK,1,1013145,2,10,16,25 -12 -23 47 -33,25.124
# S 6823
6823,OK,1,1014364,2,10,16,18 7 -29 -22 -39,15.531
# S 6873
6873,OK,1,390840,2,10,15,31 -11 17 3 9,3.196
# S 6923
6923,OK,1,650389,2,10,16,35 22 23 -34 -13,63.04
# S 6973
6973,OK,1,1132769,2,11,15,3 -2 -21 19 0,9.748
# S 7023
7023,OK,1,936676,2,10,16,55 -2 -9 -14 24,64.784
# S 7073
7073,OK,1,378357,2,10,17,29 -20 -7 -6 -58,279.485
# S 7123
