# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 20 of = 50
# kmax_cap = 33
# generated = 2026-08-27 18:58:41 host = bp1-compute062
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 21
21,OK,1,985720,2,10,16,25 -31 5 -17 -22,57.705
# S 71
71,OK,1,446421,2,10,17,4 -24 9 -7 81,313.309
# S 121
121,OK,1,657460,2,10,16,23 10 20 -39 19,68.425
# S 171
171,OK,1,819421,2,10,16,49 -44 -26 1 -16,149.563
# S 221
221,OK,1,1184928,2,11,15,-3 9 14 3 25,0.505
# S 271
271,OK,1,948728,2,10,16,70 -4 -16 14 -1,316.875
# S 321
321,OK,1,753353,2,10,16,0 37 37 -17 -36,14.908
# S 371
371,OK,1,1057996,2,11,16,11 -24 0 11 -36,23.493
# S 421
421,OK,1,966521,2,10,15,22 27 -23 4 3,9.168
# S 471
471,OK,1,993072,2,10,13,3 -2 5 -1 -3,0.014
# S 521
521,OK,1,452093,2,10,16,15 1 -6 33 25,44.117
# S 571
571,OK,1,543084,2,10,16,12 -29 14 -6 -38,11.106
# S 621
621,OK,1,1082068,2,11,16,38 39 -29 15 20,95.545
# S 671
671,OK,1,1033680,2,10,15,32 -2 17 -1 -7,5.462
# S 721
721,OK,1,435101,2,10,17,88 -69 -14 -17 61,1201.169
# S 771
771,OK,1,924016,2,10,16,31 -10 -24 -32 1,312.302
# S 821
821,OK,1,824733,2,10,16,47 -31 4 18 -1,312.088
# S 871
871,OK,1,478736,2,10,17,62 -18 71 -18 -52,337.452
# S 921
921,OK,1,1322712,2,11,15,19 -3 -4 -7 22,0.638
# S 971
971,OK,1,630672,2,10,16,13 29 -17 -32 -5,229.496
# S 1021
1021,OK,1,569581,2,10,16,20 25 5 19 -29,11.323
# S 1071
1071,OK,1,1211557,2,11,16,3 26 -25 10 -32,32.334
# S 1121
1121,OK,1,1257573,2,11,16,9 29 47 -3 19,132.141
# S 1171
1171,OK,1,566581,2,10,16,26 -2 32 -32 -17,38.29
# S 1221
1221,OK,1,945925,2,10,15,20 -26 -12 1 10,3.308
# S 1271
1271,OK,1,782608,2,10,16,4 -27 24 27 -47,11.309
# S 1321
1321,OK,1,683621,2,10,15,28 -7 -22 -14 -11,3.204
# S 1371
1371,OK,1,834141,2,10,16,10 23 3 -41 -22,83.604
# S 1421
1421,OK,1,900240,2,10,15,31 -5 22 21 4,7.346
# S 1471
1471,OK,1,1055308,2,11,16,25 -9 22 13 -30,14.536
# S 1521
1521,OK,1,776821,2,10,16,37 17 5 -40 16,81.327
# S 1571
1571,OK,1,492577,2,10,14,22 0 -1 3 1,0.341
# S 1621
1621,OK,1,684393,2,10,16,57 6 -32 -11 -20,51.694
# S 1671
1671,OK,1,893057,2,10,15,21 11 -1 -2 13,2.614
# S 1721
1721,OK,1,732185,2,10,16,30 -4 32 -3 31,25.711
# S 1771
1771,OK,1,696368,2,10,16,13 -8 21 -8 -35,11.988
# S 1821
1821,OK,1,725913,2,10,16,15 21 19 28 9,214.43
# S 1871
1871,OK,1,719692,2,10,16,52 6 39 -14 -13,162.496
# S 1921
1921,OK,1,1237533,2,11,16,25 0 28 5 32,29.413
# S 1971
1971,OK,1,770105,2,10,16,42 -53 -6 -27 -29,23.71
# S 2021
2021,OK,1,900760,2,10,14,16 -1 -8 8 4,0.118
# S 2071
2071,OK,1,1184977,2,11,16,0 20 -20 -13 -30,19.075
# S 2121
2121,OK,1,159440,2,9,15,32 -31 2 7 -1,8.467
# S 2171
2171,OK,1,1363965,2,11,16,53 -14 -30 45 -32,63.306
# S 2221
2221,OK,1,251980,2,9,17,38 26 35 7 61,361.154
# S 2271
2271,OK,1,772584,2,10,17,21 -32 -54 13 79,383.922
# S 2321
2321,OK,1,259377,2,9,16,79 9 21 -31 -22,27.565
# S 2371
2371,OK,1,904953,2,10,16,51 -36 20 0 21,69.752
# S 2421
2421,OK,1,1161501,2,11,15,17 16 1 2 -6,7.44
# S 2471
2471,OK,1,976572,2,10,16,22 51 -29 26 16,72.322
# S 2521
2521,OK,1,911040,2,10,16,34 18 1 54 -7,241.492
# S 2571
2571,OK,1,983477,2,10,15,26 29 -7 -5 -3,8.025
# S 2621
2621,OK,1,710292,2,10,16,70 12 11 15 -9,206.686
# S 2671
2671,OK,1,225840,2,9,16,75 38 2 -10 -14,74.638
# S 2721
