# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 39 of = 50
# kmax_cap = 33
# generated = 2026-08-28 04:24:05 host = bp1-compute070
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 40
40,OK,1,770096,2,10,15,21 23 10 5 7,7.97
# S 90
90,OK,1,1091116,2,11,16,28 -6 11 -35 27,49.42
# S 140
140,OK,1,800669,2,10,15,27 17 15 3 -10,3.787
# S 190
190,OK,1,1074785,2,11,14,13 -11 -3 5 -1,0.396
# S 240
240,OK,1,860217,2,10,16,2 38 19 5 34,26.115
# S 290
290,OK,1,1462133,2,11,15,31 -15 -3 8 -19,1.114
# S 340
340,OK,1,983269,2,10,15,10 -4 7 1 -22,0.44
# S 390
390,OK,1,933401,2,10,16,15 -36 25 2 -37,15.271
# S 440
440,OK,1,855345,2,10,17,33 11 17 -7 95,307.333
# S 490
490,OK,1,1176412,2,11,15,24 8 14 -1 17,1.464
# S 540
540,OK,1,980564,2,10,16,66 39 -8 -3 -4,261.551
# S 590
590,OK,1,814740,2,10,16,47 -24 -10 24 18,38.837
# S 640
640,OK,1,1055141,2,11,17,84 86 53 58 78,381.892
# S 690
690,OK,1,453004,2,10,15,16 16 9 6 -12,2.044
# S 740
740,OK,1,653221,2,10,17,1 -5 17 -13 -86,306.539
# S 790
790,OK,1,986400,2,10,16,0 24 -20 27 26,50.0
# S 840
840,OK,1,440029,2,10,15,35 -2 10 -7 7,3.338
# S 890
890,OK,1,1059308,2,11,16,12 4 51 -13 -30,61.057
# S 940
940,OK,1,918225,2,10,16,39 49 -4 8 14,131.294
# S 990
990,OK,1,1495669,2,11,16,26 -16 -15 37 22,110.334
# S 1040
1040,OK,1,788724,2,10,16,35 -8 -7 2 -35,22.581
# S 1090
1090,OK,1,1279405,2,11,15,30 -13 -22 -10 1,11.623
# S 1140
1140,OK,1,1146557,2,11,16,1 -33 -9 33 -26,44.029
# S 1190
1190,OK,1,1097929,2,11,16,23 -41 18 -13 28,67.556
# S 1240
1240,OK,1,1077193,2,11,16,55 13 -14 46 17,92.408
# S 1290
1290,OK,1,491565,2,10,16,39 -25 -23 28 16,99.126
# S 1340
1340,OK,1,1014068,2,10,16,13 -55 -7 -29 24,89.077
# S 1390
1390,OK,1,507848,2,10,16,26 28 11 12 -32,28.929
# S 1440
1440,OK,1,885524,2,10,16,27 -6 -30 -2 -30,25.903
# S 1490
1490,OK,1,1231241,2,11,16,46 -17 -15 21 -30,44.949
# S 1540
1540,OK,1,762173,2,10,16,39 20 -4 17 -23,36.038
# S 1590
1590,OK,1,888177,2,10,16,9 27 -29 19 16,125.975
# S 1640
1640,OK,1,946300,2,10,16,2 13 51 -5 8,225.092
# S 1690
1690,OK,1,278065,2,10,16,33 19 -40 -2 -22,18.228
# S 1740
1740,OK,1,1066921,2,11,17,15 -13 11 -3 88,327.433
# S 1790
1790,OK,1,1373601,2,11,15,22 -2 1 -12 -7,5.514
# S 1840
1840,OK,1,922777,2,10,16,28 -2 -35 -38 8,198.427
# S 1890
1890,OK,1,1079721,2,11,17,29 -58 -38 -19 93,349.409
# S 1940
1940,OK,1,895584,2,10,16,25 60 -7 15 -27,68.758
# S 1990
1990,OK,1,1154113,2,11,16,13 59 14 16 42,21.66
# S 2040
2040,OK,1,400312,2,10,17,46 -41 38 53 51,724.62
# S 2090
2090,OK,1,801576,2,10,16,5 -23 -14 -7 34,22.336
# S 2140
2140,OK,1,684756,2,10,16,8 -5 -31 26 -21,26.393
# S 2190
2190,OK,1,1050664,2,11,15,10 -4 7 -26 -1,10.23
# S 2240
2240,OK,1,1279204,2,11,16,44 22 -28 -18 -23,89.115
# S 2290
2290,OK,1,596749,2,10,17,53 -74 -51 -36 39,799.391
# S 2340
2340,OK,1,1521280,2,11,16,5 -11 21 -14 -38,25.755
# S 2390
2390,OK,1,631025,2,10,16,60 17 -18 9 34,14.699
# S 2440
2440,OK,1,662000,2,10,16,27 -8 36 -46 -18,90.394
# S 2490
2490,OK,1,780985,2,10,16,4 18 27 12 -24,43.724
# S 2540
2540,OK,1,839177,2,10,16,47 -18 1 25 -30,25.587
# S 2590
2590,OK,1,939080,2,10,15,9 -16 11 -8 -10,3.1
# S 2640
2640,OK,1,382929,2,10,17,77 -39 12 4 -58,381.06
# S 2690
2690,OK,1,841148,2,10,15,12 5 11 1 20,0.941
# S 2740
2740,OK,1,651616,2,10,16,54 4 36 -20 1,290.966
# S 2790
