# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 29 of = 50
# kmax_cap = 33
# generated = 2026-08-27 21:03:12 host = bp1-compute102
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 30
30,OK,1,1182001,2,11,16,4 -23 48 2 36,18.509
# S 80
80,OK,1,1383937,2,11,16,38 37 18 -23 -34,35.534
# S 130
130,OK,1,667025,2,10,15,2 6 -6 -16 13,0.726
# S 180
180,OK,1,467084,2,10,14,10 -2 -11 -1 4,0.158
# S 230
230,OK,1,872589,2,10,16,41 -7 -15 19 30,36.427
# S 280
280,OK,1,467780,2,10,15,39 -19 -7 7 4,5.087
# S 330
330,OK,1,223905,2,9,15,5 21 10 4 3,6.456
# S 380
380,OK,1,594893,2,10,16,12 29 -44 18 -13,115.64
# S 430
430,OK,1,1027957,2,10,17,3 48 28 15 -68,455.92
# S 480
480,OK,1,902828,2,10,16,5 -15 -42 25 -14,13.523
# S 530
530,OK,1,844101,2,10,15,36 16 1 3 3,7.802
# S 580
580,OK,1,1026664,2,10,16,10 -27 -30 -6 39,12.685
# S 630
630,OK,1,1007584,2,10,16,46 -27 -9 5 -7,212.921
# S 680
680,OK,1,938672,2,10,16,50 3 36 -33 -7,206.303
# S 730
730,OK,1,407361,2,10,16,57 19 8 -32 1,260.818
# S 780
780,OK,1,751620,2,10,15,13 0 6 -8 -12,0.758
# S 830
830,OK,1,376009,2,10,16,105 27 12 1 10,98.584
# S 880
880,OK,1,366612,2,10,16,61 -43 -11 12 18,76.082
# S 930
930,OK,1,902125,2,10,16,27 -34 5 35 -14,149.425
# S 980
980,OK,1,654169,2,10,16,17 46 -10 17 18,60.641
# S 1030
1030,OK,1,873020,2,10,15,3 -4 17 21 -1,9.7
# S 1080
1080,OK,1,691889,2,10,16,12 -31 -20 8 -17,71.941
# S 1130
1130,OK,1,685817,2,10,16,35 10 -24 -25 -6,200.236
# S 1180
1180,OK,1,793393,2,10,16,5 12 -50 -27 8,165.94
# S 1230
1230,OK,1,932376,2,10,16,21 -51 6 -19 22,64.343
# S 1280
1280,OK,1,1107649,2,11,16,41 -31 2 9 -3,251.402
# S 1330
1330,OK,1,1104929,2,11,16,33 -41 16 35 3,250.091
# S 1380
1380,OK,1,407913,2,10,15,10 -8 25 -5 4,4.849
# S 1430
1430,OK,1,531304,2,10,16,13 -44 -13 -23 -19,24.695
# S 1480
1480,OK,1,713404,2,10,16,4 28 43 19 -20,62.321
# S 1530
1530,OK,1,1246385,2,11,16,31 -29 58 27 -12,170.215
# S 1580
1580,OK,1,1328732,2,11,17,76 50 -23 -10 86,385.667
# S 1630
1630,OK,1,1127665,2,11,17,17 1 24 -36 88,305.28
# S 1680
1680,OK,1,652196,2,10,16,22 64 5 -31 -29,17.631
# S 1730
1730,OK,1,1076856,2,11,16,40 -3 15 -31 -3,254.358
# S 1780
1780,OK,1,1271840,2,11,15,0 18 2 23 17,1.378
# S 1830
1830,OK,1,700940,2,10,16,45 6 8 9 -40,11.592
# S 1880
1880,OK,1,517945,2,10,14,2 6 -3 6 -6,0.11
# S 1930
1930,OK,1,1330560,2,11,16,32 41 -21 -20 31,20.825
# S 1980
1980,OK,1,149320,2,9,16,49 -65 27 1 5,129.736
# S 2030
2030,OK,1,1097180,2,11,16,25 21 -39 -24 -4,242.453
# S 2080
2080,OK,1,569033,2,10,15,16 15 1 -2 -14,0.51
# S 2130
2130,OK,1,1025401,2,10,15,18 5 6 -12 -15,2.099
# S 2180
2180,OK,1,1286960,2,11,17,15 -53 -38 -31 -77,465.735
# S 2230
2230,OK,1,696425,2,10,16,0 56 13 -19 -29,42.413
# S 2280
2280,OK,1,827733,2,10,16,61 -42 7 -27 4,239.092
# S 2330
2330,OK,1,1053760,2,11,16,3 -20 23 -21 34,21.889
# S 2380
2380,OK,1,351361,2,10,16,49 0 33 44 -4,210.248
# S 2430
2430,OK,1,1017461,2,10,17,2 -47 62 -40 -81,304.592
# S 2480
2480,OK,1,827664,2,10,16,57 -27 39 -36 32,40.202
# S 2530
2530,OK,1,1256977,2,11,15,1 -10 18 10 9,4.651
# S 2580
2580,OK,1,1096116,2,11,16,52 -28 28 9 7,208.776
# S 2630
2630,OK,1,523328,2,10,17,28 -36 30 -16 -59,272.109
# S 2680
2680,OK,1,615673,2,10,16,21 13 -28 -25 19,42.112
# S 2730
2730,OK,1,1309189,2,11,16,42 -45 11 39 46,15.655
# S 2780
2780,OK,1,467917,2,10,16,36 21 26 -15 26,53.019
# S 2830
2830,OK,1,460177,2,10,16,13 44 -26 -5 -31,18.077
# S 2880
2880,OK,1,707444,2,10,15,10 13 19 16 -3,7.603
# S 2930
2930,OK,1,1326441,2,11,16,2 -7 52 -27 19,120.546
# S 2980
2980,OK,1,942676,2,10,16,16 -17 -28 -11 25,71.186
# S 3030
3030,OK,1,1271465,2,11,16,8 -10 -40 11 19,107.594
# S 3080
3080,OK,1,985209,2,10,16,49 14 21 -1 17,128.685
# S 3130
3130,OK,1,701184,2,10,16,69 32 17 -4 -16,89.95
# S 3180
3180,OK,1,705597,2,10,16,30 -30 -49 4 6,203.093
# S 3230
3230,OK,1,553237,2,10,16,16 -13 46 24 9,180.702
# S 3280
3280,OK,1,591944,2,10,17,6 34 19 -50 -68,295.717
# S 3330
3330,OK,1,1371812,2,11,16,23 8 -25 -1 33,40.067
# S 3380
3380,OK,1,639756,2,10,17,74 55 -2 1 -50,406.823
# S 3430
3430,OK,1,642641,2,10,14,9 1 8 -6 2,0.237
# S 3480
3480,OK,1,518297,2,10,15,9 -21 22 9 6,2.901
# S 3530
3530,OK,1,589017,2,10,15,2 14 -16 9 9,2.754
# S 3580
3580,OK,1,749168,2,10,16,5 1 -28 1 -43,11.424
# S 3630
3630,OK,1,635824,2,10,16,6 -1 -30 -22 -18,70.628
# S 3680
3680,OK,1,678836,2,10,15,28 6 -3 -5 -16,0.719
# S 3730
3730,OK,1,957025,2,10,15,32 4 7 -7 10,3.217
# S 3780
3780,OK,1,417637,2,10,16,1 1 -8 23 -23,57.851
# S 3830
3830,OK,1,340129,2,10,16,45 34 2 -3 -26,21.336
# S 3880
3880,OK,1,1366997,2,11,16,-15 31 -23 14 47,13.302
# S 3930
3930,OK,1,1070728,2,11,16,22 49 -3 23 22,63.411
# S 3980
3980,OK,1,1074969,2,11,16,5 -18 -13 7 -48,10.427
# S 4030
4030,OK,1,445981,2,10,16,12 -62 8 -5 23,31.298
# S 4080
4080,OK,1,718124,2,10,15,20 -15 3 9 17,0.834
# S 4130
4130,OK,1,1370353,2,11,15,7 24 -12 -9 2,9.315
# S 4180
4180,OK,1,1024281,2,10,16,14 -17 38 30 9,175.572
# S 4230
4230,OK,1,1128992,2,11,15,17 9 13 1 12,2.545
# S 4280
4280,OK,1,1237345,2,11,16,4 -33 -12 30 37,25.718
# S 4330
4330,OK,1,782820,2,10,16,1 -13 46 28 -27,17.382
# S 4380
4380,OK,1,1260065,2,11,16,2 44 -4 20 -25,67.128
# S 4430
4430,OK,1,274648,2,10,16,23 -8 -44 1 -16,67.37
# S 4480
4480,OK,1,1042512,2,10,16,47 -6 -36 -10 23,73.775
# S 4530
4530,OK,1,794084,2,10,16,12 33 14 -18 -18,82.907
# S 4580
4580,OK,1,1051772,2,11,15,11 8 -23 -17 -10,3.614
# S 4630
4630,OK,1,991476,2,10,16,4 4 0 37 21,71.9
# S 4680
4680,OK,1,486369,2,10,15,24 37 -15 1 -3,6.538
# S 4730
4730,OK,1,1155921,2,11,16,7 27 30 13 19,98.329
# S 4780
4780,OK,1,635537,2,10,16,42 -42 7 -1 -32,20.577
# S 4830
4830,OK,1,1113224,2,11,16,22 45 -17 -8 -7,212.145
# S 4880
4880,OK,1,827128,2,10,16,63 -20 3 17 -15,127.547
# S 4930
4930,OK,1,1013944,2,10,16,9 6 41 23 -7,216.107
# S 4980
4980,OK,1,915684,2,10,16,12 -18 -28 -17 -32,28.5
# S 5030
5030,OK,1,1027424,2,10,16,15 37 27 -39 27,34.099
# S 5080
5080,OK,1,1042956,2,10,16,35 -11 31 40 -5,234.626
# S 5130
5130,OK,1,1115644,2,11,16,22 18 32 8 49,10.573
# S 5180
5180,OK,1,1169161,2,11,17,62 -29 4 19 78,367.333
# S 5230
5230,OK,1,801153,2,10,16,20 44 -23 10 5,221.07
# S 5280
5280,OK,1,584317,2,10,16,51 61 -2 2 -27,34.177
# S 5330
5330,OK,1,693749,2,10,16,43 34 40 6 -31,21.669
# S 5380
5380,OK,1,860325,2,10,17,75 -70 34 -33 98,311.893
# S 5430
5430,OK,1,657376,2,10,15,7 4 20 3 16,0.948
# S 5480
5480,OK,1,566252,2,10,17,33 -59 -15 15 -66,357.567
# S 5530
5530,OK,1,459593,2,10,16,50 66 0 22 -13,116.405
# S 5580
5580,OK,1,937801,2,10,16,18 -11 -1 -36 -28,15.561
# S 5630
5630,OK,1,1180860,2,11,16,40 -19 13 2 17,145.844
# S 5680
5680,OK,1,724476,2,10,16,61 51 -6 1 16,73.4
# S 5730
5730,OK,1,1177104,2,11,15,17 -5 0 -22 5,7.554
# S 5780
5780,OK,1,807208,2,10,16,63 -17 9 8 7,194.155
# S 5830
5830,OK,1,626985,2,10,15,32 0 8 11 13,1.241
# S 5880
5880,OK,1,915648,2,10,16,32 -16 -19 20 23,34.947
# S 5930
5930,OK,1,735524,2,10,15,39 -9 4 9 -7,5.366
# S 5980
5980,OK,1,841216,2,10,15,6 -33 13 8 6,3.864
# S 6030
6030,OK,1,931932,2,10,16,6 -18 23 -19 -15,150.656
# S 6080
6080,OK,1,1101785,2,11,16,23 -23 -30 -16 -24,89.866
# S 6130
6130,OK,1,987065,2,10,16,29 -33 -13 -16 25,49.723
# S 6180
6180,OK,1,987445,2,10,17,19 -3 14 -40 85,309.351
# S 6230
6230,OK,1,1281369,2,11,16,5 -29 13 -4 -40,20.143
# S 6280
6280,OK,1,894549,2,10,16,21 1 -40 19 25,41.807
# S 6330
6330,OK,1,470113,2,10,17,45 36 11 30 73,294.405
# S 6380
6380,OK,1,1167037,2,11,16,23 23 34 48 -22,90.61
# S 6430
6430,OK,1,876808,2,10,15,1 9 2 -3 -16,0.447
# S 6480
6480,OK,1,1168680,2,11,16,2 51 24 -24 13,177.18
# S 6530
6530,OK,1,584332,2,10,16,7 23 42 22 -12,116.115
# S 6580
6580,OK,1,1080860,2,11,17,14 17 -27 -24 -95,308.662
# S 6630
6630,OK,1,405473,2,10,14,14 -3 0 -11 -1,0.199
# S 6680
6680,OK,1,452856,2,10,16,40 -26 59 12 5,120.881
# S 6730
6730,OK,1,789160,2,10,16,8 -10 -51 6 25,46.276
# S 6780
6780,OK,1,1017824,2,10,14,11 -8 -1 -7 -5,0.155
# S 6830
6830,OK,1,317564,2,10,17,29 -2 -20 42 58,334.936
# S 6880
6880,OK,1,794809,2,10,16,3 -31 4 37 26,52.376
# S 6930
6930,OK,1,120397,2,9,16,68 1 13 -24 22,25.757
# S 6980
6980,OK,1,1185881,2,11,16,18 41 14 -23 -30,41.558
# S 7030
7030,OK,1,938600,2,10,15,9 -23 4 -11 -1,9.16
# S 7080
7080,OK,1,974641,2,10,16,25 35 -7 26 -47,10.113
# S 7130
7130,OK,1,852297,2,10,15,11 -22 27 -13 -7,3.004
# S 7180
7180,OK,1,1100505,2,11,16,23 39 -27 11 -31,25.084
# S 7230
7230,OK,1,1214033,2,11,16,49 -25 3 -13 17,123.486
# S 7280
7280,OK,1,1035845,2,10,16,7 -17 10 35 14,143.602
# S 7330
7330,OK,1,816128,2,10,16,24 60 1 -1 -8,145.49
# S 7380
7380,OK,1,552697,2,10,16,2 19 -33 41 21,30.622
# S 7430
7430,OK,1,896165,2,10,16,3 49 12 7 -34,29.917
# S 7480
7480,OK,1,632817,2,10,16,40 35 2 -1 -28,26.355
# S 7530
7530,OK,1,1242776,2,11,16,12 56 0 1 -18,92.856
# S 7580
7580,OK,1,1067281,2,11,16,21 -14 -31 25 23,22.178
# S 7630
7630,OK,1,798853,2,10,15,17 12 19 20 -5,4.168
# S 7680
7680,OK,1,1268264,2,11,14,4 -12 0 7 1,0.342
# S 7730
7730,OK,1,1566909,2,11,16,31 4 -24 53 31,63.954
# S 7780
7780,OK,1,896253,2,10,17,23 -21 -40 22 -83,296.254
# S 7830
7830,OK,1,462528,2,10,16,40 -30 -1 -19 25,29.498
# S 7880
7880,OK,1,295621,2,10,16,62 26 -19 23 6,35.568
# S 7930
7930,OK,1,620852,2,10,17,19 7 -47 -6 55,327.395
# S 7980
7980,OK,1,1368416,2,11,16,47 4 38 29 32,34.269
# S 8030
8030,OK,1,854665,2,10,16,25 -40 -19 -29 29,26.23
# S 8080
8080,OK,1,908752,2,10,15,10 3 -11 -3 19,0.835
# S 8130
8130,OK,1,861712,2,10,16,52 31 -38 -5 6,208.111
# S 8180
8180,OK,1,464100,2,10,16,93 13 9 -13 16,116.08
# S 8230
8230,OK,1,713104,2,10,15,18 5 -9 -3 -15,0.959
# S 8280
8280,OK,1,916161,2,10,16,45 30 -5 27 -22,40.368
