# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 5 of = 50
# kmax_cap = 33
# generated = 2026-08-27 06:06:42 host = bp1-compute141
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 6
6,OK,1,560192,2,10,16,8 27 37 1 1,245.315
# S 56
56,OK,1,1135993,2,11,15,5 -3 -18 -25 13,2.304
# S 106
106,OK,1,927973,2,10,16,14 -37 -6 -7 35,14.441
# S 156
156,OK,1,674505,2,10,16,49 -13 0 -33 24,17.807
# S 206
206,OK,1,851100,2,10,16,17 38 -19 8 -34,24.826
# S 256
256,OK,1,1124177,2,11,16,19 -4 15 20 34,25.348
# S 306
306,OK,1,1297093,2,11,16,1 15 -17 34 43,18.34
# S 356
356,OK,1,604376,2,10,15,34 6 5 -6 9,2.104
# S 406
406,OK,1,1146089,2,11,16,-38 35 38 15 38,25.396
# S 456
456,OK,1,996324,2,10,16,50 -36 9 17 24,62.748
# S 506
506,OK,1,1223273,2,11,16,51 33 21 28 29,55.388
# S 556
556,OK,1,1126108,2,11,16,41 -26 20 -2 -16,129.93
# S 606
606,OK,1,709780,2,10,15,7 -9 -3 20 6,0.555
# S 656
656,OK,1,662721,2,10,16,75 -8 -6 -4 11,133.47
# S 706
706,OK,1,409528,2,10,15,26 -23 -7 2 -9,1.434
# S 756
756,OK,1,1270969,2,11,17,27 102 41 -22 66,470.048
# S 806
806,OK,1,128036,2,9,16,25 38 -8 -8 14,79.738
# S 856
856,OK,1,376181,2,10,16,10 -37 16 -8 -21,60.759
# S 906
906,OK,1,980232,2,10,17,-50 -56 17 4 -73,309.326
# S 956
956,OK,1,653760,2,10,15,4 7 11 -11 9,0.644
# S 1006
1006,OK,1,478040,2,10,16,44 11 -27 5 21,46.377
# S 1056
1056,OK,1,1337104,2,11,15,7 18 -6 -15 -21,0.743
# S 1106
1106,OK,1,1197417,2,11,17,50 62 20 16 -89,330.26
# S 1156
1156,OK,1,801901,2,10,16,13 35 30 52 18,79.47
# S 1206
1206,OK,1,730537,2,10,16,24 -31 43 -28 2,238.349
# S 1256
1256,OK,1,755484,2,10,16,30 36 -3 22 6,210.494
# S 1306
1306,OK,1,862881,2,10,15,9 -2 9 15 16,0.811
# S 1356
1356,OK,1,1403380,2,11,17,33 66 -8 -59 -85,325.985
# S 1406
1406,OK,1,1106448,2,11,16,9 -15 4 10 -41,13.67
# S 1456
1456,OK,1,553168,2,10,16,20 -16 48 27 -3,235.932
# S 1506
1506,OK,1,609109,2,10,15,28 0 6 -3 11,1.272
# S 1556
1556,OK,1,852601,2,10,15,2 12 12 -3 -16,0.432
# S 1606
1606,OK,1,385564,2,10,16,54 -51 -9 -7 -10,76.134
# S 1656
1656,OK,1,1100260,2,11,16,32 23 4 -40 30,33.313
# S 1706
1706,OK,1,1323077,2,11,17,27 62 -17 -3 92,316.82
# S 1756
1756,OK,1,609773,2,10,15,4 15 19 3 12,1.152
# S 1806
1806,OK,1,1403476,2,11,16,48 14 -11 26 29,56.634
# S 1856
1856,OK,1,1241264,2,11,16,21 -56 19 -9 15,145.726
# S 1906
1906,OK,1,1470112,2,11,16,9 -37 -13 -48 36,30.89
# S 1956
1956,OK,1,1432741,2,11,16,26 15 -44 38 -19,100.699
# S 2006
2006,OK,1,839764,2,10,17,35 12 -57 -9 -84,275.108
# S 2056
2056,OK,1,733256,2,10,17,121 -36 -51 31 67,790.752
# S 2106
2106,OK,1,1293456,2,11,15,17 14 -20 -1 -12,2.836
# S 2156
2156,OK,1,1191409,2,11,16,43 -12 -27 7 13,164.981
# S 2206
2206,OK,1,909464,2,10,17,5 68 60 3 -56,566.637
# S 2256
2256,OK,1,934349,2,10,16,53 -24 -14 -11 -10,177.066
# S 2306
2306,OK,1,1210328,2,11,16,44 -4 -28 -10 13,161.162
# S 2356
2356,OK,1,934441,2,10,15,17 1 21 -19 -10,2.698
# S 2406
2406,OK,1,949516,2,10,16,21 26 58 -19 10,164.496
# S 2456
2456,OK,1,940233,2,10,16,48 29 -5 38 -18,116.495
# S 2506
2506,OK,1,490804,2,10,17,37 21 -7 46 -69,273.878
# S 2556
2556,OK,1,310325,2,10,16,7 -47 -9 2 19,50.739
# S 2606
2606,OK,1,488321,2,10,17,29 55 -15 -26 -52,301.745
# S 2656
2656,OK,1,1174141,2,11,17,25 64 55 -86 67,620.782
# S 2706
2706,OK,1,229741,2,9,16,33 -32 16 -4 -23,11.412
# S 2756
2756,OK,1,1225753,2,11,17,17 -67 -44 20 74,478.786
# S 2806
2806,OK,1,409169,2,10,16,63 1 14 31 -17,100.278
# S 2856
2856,OK,1,766425,2,10,15,3 -12 5 17 -4,6.667
# S 2906
2906,OK,1,1075677,2,11,17,25 -53 -43 -32 -79,317.7
# S 2956
2956,OK,1,346388,2,10,15,54 -11 -11 -6 8,3.483
# S 3006
3006,OK,1,925081,2,10,15,32 -14 -10 -5 -12,2.499
# S 3056
3056,OK,1,645385,2,10,16,21 -2 -8 32 23,32.843
# S 3106
3106,OK,1,1109613,2,11,15,11 -14 -20 1 18,0.565
# S 3156
3156,OK,1,987229,2,10,16,8 -12 -39 19 -29,23.485
# S 3206
3206,OK,1,943129,2,10,16,55 -9 31 19 -25,67.244
# S 3256
3256,OK,1,272708,2,10,15,38 -17 12 -2 -4,4.373
# S 3306
3306,OK,1,953353,2,10,16,50 23 52 25 22,41.949
# S 3356
3356,OK,1,843184,2,10,17,77 11 -28 -35 -70,672.317
# S 3406
3406,OK,1,583561,2,10,16,27 -23 -29 18 -20,31.829
# S 3456
3456,OK,1,602672,2,10,16,31 33 -7 -19 -10,139.418
# S 3506
3506,OK,1,782176,2,10,16,56 13 18 2 24,37.034
# S 3556
3556,OK,1,822213,2,10,14,9 18 1 4 -4,0.174
# S 3606
3606,OK,1,1342553,2,11,16,37 15 0 5 47,11.564
# S 3656
3656,OK,1,1216809,2,11,16,45 -28 14 23 -27,45.078
# S 3706
3706,OK,1,420884,2,10,15,41 1 13 4 -8,3.219
# S 3756
3756,OK,1,215589,2,9,16,22 77 33 5 -7,139.731
# S 3806
3806,OK,1,761428,2,10,16,45 10 -15 -2 33,27.291
# S 3856
3856,OK,1,1122104,2,11,16,9 30 33 -14 34,27.233
# S 3906
3906,OK,1,1039036,2,10,16,24 -33 -41 -48 -18,76.385
# S 3956
3956,OK,1,647972,2,10,15,27 2 15 -7 -9,1.741
# S 4006
4006,OK,1,674265,2,10,15,9 9 -3 -15 -11,1.842
# S 4056
4056,OK,1,324144,2,10,16,41 18 -2 -35 -33,14.102
# S 4106
4106,OK,1,198228,2,9,16,41 -34 -33 -19 -6,168.899
# S 4156
4156,OK,1,1167489,2,11,16,31 15 -6 21 37,13.38
# S 4206
4206,OK,1,749945,2,10,16,46 -8 13 -13 23,24.333
# S 4256
4256,OK,1,551245,2,10,16,40 -48 -9 -9 -21,90.397
# S 4306
4306,OK,1,712849,2,10,16,46 37 -33 -18 26,51.791
# S 4356
4356,OK,1,982009,2,10,15,14 0 25 26 -1,9.654
# S 4406
4406,OK,1,1099520,2,11,17,5 -6 -45 67 -63,729.184
# S 4456
4456,OK,1,520457,2,10,16,3 35 -12 33 6,199.82
# S 4506
4506,OK,1,589944,2,10,16,11 -8 -46 -20 3,233.629
# S 4556
4556,OK,1,783716,2,10,16,3 -34 -36 -1 20,55.544
# S 4606
4606,OK,1,906964,2,10,17,68 11 40 -17 -65,888.072
# S 4656
