# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 45 of = 50
# kmax_cap = 33
# generated = 2026-08-28 11:24:47 host = bp1-compute049
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 46
46,OK,1,810297,2,10,16,13 -1 -32 -31 -33,23.921
# S 96
96,OK,1,1149597,2,11,16,39 20 26 6 1,285.534
# S 146
146,OK,1,1298008,2,11,17,41 -35 -4 43 -75,576.275
# S 196
196,OK,1,441996,2,10,15,35 -9 25 0 -1,8.449
# S 246
246,OK,1,1080832,2,11,15,29 33 2 16 -2,8.31
# S 296
296,OK,1,596632,2,10,16,13 -53 13 -39 10,141.35
# S 346
346,OK,1,650489,2,10,15,21 10 13 10 11,1.53
# S 396
396,OK,1,619289,2,10,14,3 7 -3 -11 2,0.223
# S 446
446,OK,1,836889,2,10,17,29 -15 -25 -1 -62,320.651
# S 496
496,OK,1,765241,2,10,16,31 35 -9 -1 -24,37.573
# S 546
546,OK,1,1204641,2,11,16,12 -13 -15 1 45,12.843
# S 596
596,OK,1,432561,2,10,16,52 -11 13 -36 5,217.082
# S 646
646,OK,1,299625,2,10,16,25 6 35 -7 37,11.247
# S 696
696,OK,1,628497,2,10,16,14 11 -16 -27 31,17.874
# S 746
746,OK,1,776044,2,10,16,18 26 -16 32 5,222.091
# S 796
796,OK,1,396745,2,10,15,14 -21 5 8 4,5.724
# S 846
846,OK,1,550909,2,10,15,17 -5 -22 12 -3,6.811
# S 896
896,OK,1,692113,2,10,16,5 0 58 14 -5,210.242
# S 946
946,OK,1,811265,2,10,16,52 40 0 8 11,172.388
# S 996
996,OK,1,991232,2,10,15,12 5 -14 -9 -20,0.87
# S 1046
1046,OK,1,213844,2,9,15,30 -9 -5 2 9,0.871
# S 1096
1096,OK,1,652136,2,10,16,10 -12 -47 12 -16,55.54
# S 1146
1146,OK,1,916660,2,10,15,1 -14 22 -15 8,4.548
# S 1196
1196,OK,1,1148993,2,11,15,12 -14 4 14 11,2.691
# S 1246
1246,OK,1,1262049,2,11,16,50 -70 40 47 -14,181.449
# S 1296
1296,OK,1,722788,2,10,15,31 0 6 0 -11,2.338
# S 1346
1346,OK,1,1337721,2,11,15,25 1 -1 8 -2,9.218
# S 1396
1396,OK,1,817565,2,10,17,25 -35 22 -35 75,295.325
# S 1446
1446,OK,1,1329425,2,11,16,31 3 18 -16 31,39.998
# S 1496
1496,OK,1,1031416,2,10,16,33 4 17 7 20,98.932
# S 1546
1546,OK,1,961809,2,10,16,53 19 20 -13 -19,62.838
# S 1596
1596,OK,1,954997,2,10,16,60 15 -10 -4 -19,64.75
# S 1646
1646,OK,1,920776,2,10,16,17 -3 0 12 28,10.709
# S 1696
1696,OK,1,1417005,2,11,16,52 21 4 40 -11,200.3
# S 1746
1746,OK,1,654897,2,10,16,38 -35 10 -24 19,59.51
# S 1796
1796,OK,1,1073809,2,11,15,18 -9 12 -10 -3,7.626
# S 1846
1846,OK,1,612129,2,10,16,78 -21 27 -2 10,146.164
# S 1896
1896,OK,1,480232,2,10,15,14 -8 -16 11 16,0.581
# S 1946
1946,OK,1,794992,2,10,15,6 -6 -20 8 15,0.403
# S 1996
1996,OK,1,1115457,2,11,16,8 -36 20 -29 38,17.352
# S 2046
2046,OK,1,876676,2,10,16,1 -5 -34 3 -35,19.145
# S 2096
2096,OK,1,206592,2,9,16,13 44 -25 18 7,133.327
# S 2146
2146,OK,1,1121989,2,11,16,30 29 -24 -11 -47,13.849
# S 2196
2196,OK,1,170241,2,9,16,31 2 23 36 -13,95.595
# S 2246
2246,OK,1,901625,2,10,16,16 37 -17 -11 40,10.613
# S 2296
2296,OK,1,914224,2,10,15,6 -5 17 16 10,2.692
# S 2346
2346,OK,1,839673,2,10,16,31 20 -14 12 33,13.166
# S 2396
2396,OK,1,1188641,2,11,16,54 52 2 17 13,128.49
# S 2446
2446,OK,1,663481,2,10,16,1 29 42 -29 4,237.477
# S 2496
2496,OK,1,338921,2,10,16,44 -36 -20 -14 -21,51.338
# S 2546
2546,OK,1,957880,2,10,16,45 33 -2 3 28,19.354
# S 2596
2596,OK,1,525704,2,10,16,26 -37 -3 -27 16,57.895
# S 2646
2646,OK,1,445428,2,10,16,38 -1 44 34 4,217.134
# S 2696
2696,OK,1,748060,2,10,17,96 -61 52 47 -70,453.568
# S 2746
2746,OK,1,672444,2,10,16,63 16 -9 -7 -15,112.04
# S 2796
2796,OK,1,1059105,2,11,16,39 -6 7 44 6,198.945
# S 2846
2846,OK,1,727064,2,10,16,29 -6 54 -9 -19,43.153
# S 2896
2896,OK,1,738380,2,10,16,4 14 -22 -23 -43,10.315
# S 2946
2946,OK,1,297229,2,10,16,30 -1 43 -6 -2,228.086
# S 2996
2996,OK,1,909417,2,10,17,36 50 37 40 53,1583.279
# S 3046
3046,OK,1,738028,2,10,16,46 1 -1 -51 -12,137.249
# S 3096
3096,OK,1,415925,2,10,16,35 57 2 36 -2,259.492
# S 3146
3146,OK,1,970616,2,10,16,3 14 -13 43 -6,240.122
# S 3196
3196,OK,1,948517,2,10,16,2 18 35 18 27,22.583
# S 3246
3246,OK,1,424432,2,10,16,4 1 -16 30 -27,17.693
# S 3296
3296,OK,1,915716,2,10,16,49 1 41 -5 -22,39.542
# S 3346
3346,OK,1,1132765,2,11,16,6 11 8 -49 -19,125.917
# S 3396
3396,OK,1,584936,2,10,17,6 -45 20 -67 51,1027.904
# S 3446
3446,OK,1,468541,2,10,16,53 47 -1 13 -7,187.473
# S 3496
3496,OK,1,913829,2,10,15,11 22 5 -1 14,1.49
# S 3546
3546,OK,1,1122777,2,11,17,54 13 -21 1 92,357.519
# S 3596
3596,OK,1,670000,2,10,16,33 24 8 -32 -21,42.414
# S 3646
3646,OK,1,775065,2,10,17,7 27 15 84 85,444.669
# S 3696
3696,OK,1,143688,2,9,16,34 -13 32 -25 -18,41.353
# S 3746
3746,OK,1,581096,2,10,17,27 11 31 26 68,300.806
# S 3796
3796,OK,1,989913,2,10,16,1 31 -26 9 22,80.151
# S 3846
3846,OK,1,744357,2,10,16,57 8 26 24 -35,15.616
# S 3896
3896,OK,1,654592,2,10,16,35 -34 -10 8 16,77.757
# S 3946
3946,OK,1,442973,2,10,16,19 39 2 27 -18,57.991
# S 3996
3996,OK,1,410840,2,10,17,21 17 -14 41 -35,365.95
# S 4046
4046,OK,1,712404,2,10,16,13 -15 -5 -18 -25,38.767
# S 4096
4096,OK,1,1080516,2,11,16,22 42 13 -4 -30,53.871
# S 4146
4146,OK,1,469308,2,10,15,25 -20 -3 4 1,8.881
# S 4196
4196,OK,1,310180,2,10,16,48 46 14 4 -13,133.844
# S 4246
4246,OK,1,929773,2,10,16,54 53 9 -20 25,45.951
# S 4296
4296,OK,1,1134096,2,11,16,54 -26 -22 -20 -35,18.656
# S 4346
4346,OK,1,569637,2,10,17,3 -5 -69 0 -72,295.273
# S 4396
4396,OK,1,1081585,2,11,16,17 -31 -49 -28 32,29.614
# S 4446
4446,OK,1,575481,2,10,17,64 36 -59 44 -55,1043.859
# S 4496
4496,OK,1,994369,2,10,17,35 -15 -5 27 70,333.052
# S 4546
4546,OK,1,721189,2,10,15,4 16 7 12 -19,0.463
# S 4596
4596,OK,1,653813,2,10,16,36 23 -23 18 35,12.823
# S 4646
4646,OK,1,456876,2,10,16,7 26 -47 17 -8,206.621
# S 4696
4696,OK,1,524121,2,10,16,78 -5 -25 -4 21,75.696
# S 4746
4746,OK,1,866825,2,10,16,63 26 3 16 1,297.598
# S 4796
4796,OK,1,761025,2,10,16,19 37 -10 -2 -31,30.926
# S 4846
4846,OK,1,480973,2,10,16,69 -9 -27 -14 6,217.769
# S 4896
4896,OK,1,1073284,2,11,14,4 -1 -7 6 7,0.034
# S 4946
4946,OK,1,727837,2,10,16,13 10 -1 -19 30,31.754
# S 4996
4996,OK,1,910349,2,10,15,9 4 24 8 13,1.975
# S 5046
5046,OK,1,1303165,2,11,16,38 6 13 -7 -29,65.445
# S 5096
5096,OK,1,1221976,2,11,17,20 37 15 32 90,326.439
# S 5146
5146,OK,1,724917,2,10,17,15 -24 7 16 -62,734.503
# S 5196
5196,OK,1,803281,2,10,17,88 31 31 71 -50,1149.644
# S 5246
5246,OK,1,459916,2,10,16,20 -4 -23 4 29,28.325
# S 5296
5296,OK,1,897636,2,10,16,19 50 -5 -10 22,49.629
# S 5346
5346,OK,1,848056,2,10,15,9 -30 1 -6 -9,2.756
# S 5396
5396,OK,1,832212,2,10,16,32 -10 4 -42 -21,67.131
# S 5446
5446,OK,1,278460,2,10,17,39 -8 24 -1 46,291.712
# S 5496
5496,OK,1,723985,2,10,16,0 39 -19 -10 -28,55.68
# S 5546
5546,OK,1,1059548,2,11,16,8 -12 28 37 31,20.036
# S 5596
5596,OK,1,1295924,2,11,16,6 -37 -26 -17 28,77.739
# S 5646
5646,OK,1,834888,2,10,16,21 -8 4 18 -52,11.053
# S 5696
5696,OK,1,857104,2,10,16,3 5 -18 -14 26,43.942
# S 5746
5746,OK,1,718784,2,10,17,21 -41 -38 -31 75,396.523
# S 5796
5796,OK,1,974016,2,10,16,4 -34 -7 -24 -27,16.579
# S 5846
5846,OK,1,114057,2,9,16,64 8 -6 22 27,16.055
# S 5896
5896,OK,1,444633,2,10,15,15 -4 1 21 7,4.544
# S 5946
5946,OK,1,344025,2,10,16,92 18 7 21 -9,155.955
# S 5996
5996,OK,1,807741,2,10,15,24 23 -21 2 8,4.049
# S 6046
6046,OK,1,911700,2,10,16,-29 -36 -37 -12 35,19.307
# S 6096
6096,OK,1,1041053,2,10,16,37 1 -40 0 32,26.204
# S 6146
6146,OK,1,900313,2,10,16,15 25 7 -22 23,87.872
# S 6196
6196,OK,1,107121,2,9,16,70 -18 6 -17 33,9.771
# S 6246
6246,OK,1,618784,2,10,16,31 -30 -14 9 25,46.622
# S 6296
6296,OK,1,1097153,2,11,16,32 37 -19 -34 40,14.878
# S 6346
6346,OK,1,595696,2,10,16,59 -29 -25 4 -10,102.67
# S 6396
6396,OK,1,865657,2,10,15,2 2 -15 -18 4,6.9
# S 6446
6446,OK,1,1034865,2,10,16,49 4 13 17 -27,29.378
# S 6496
6496,OK,1,1143593,2,11,16,62 -56 16 19 22,103.236
# S 6546
6546,OK,1,349929,2,10,15,14 18 -21 0 11,2.049
# S 6596
6596,OK,1,923609,2,10,16,24 12 -11 8 -33,30.053
# S 6646
