# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 41 of = 50
# kmax_cap = 33
# generated = 2026-08-28 09:49:16 host = bp1-compute064
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 42
42,OK,1,345125,2,10,16,1 -46 -11 0 -29,24.624
# S 92
92,OK,1,802329,2,10,17,7 -49 11 6 -80,401.615
# S 142
142,OK,1,641953,2,10,16,25 -19 8 -27 20,52.086
# S 192
192,OK,1,394000,2,10,16,13 -3 21 -36 -15,45.949
# S 242
242,OK,1,640560,2,10,14,9 5 -9 -6 6,0.104
# S 292
292,OK,1,1109189,2,11,16,5 22 -41 6 32,41.399
# S 342
342,OK,1,714828,2,10,15,23 -23 -21 -3 -13,2.07
# S 392
392,OK,1,615708,2,10,14,5 -2 12 0 4,0.217
# S 442
442,OK,1,1239245,2,11,16,34 32 8 24 51,13.224
# S 492
492,OK,1,1292772,2,11,16,25 -15 -41 6 21,120.874
# S 542
542,OK,1,634305,2,10,16,13 37 -10 22 19,111.549
# S 592
592,OK,1,205825,2,9,16,89 -46 -11 17 -5,198.763
# S 642
642,OK,1,634353,2,10,16,2 39 24 3 7,238.423
# S 692
692,OK,1,311644,2,10,16,30 -4 -2 -29 -28,17.354
# S 742
742,OK,1,674361,2,10,16,44 -30 29 -21 -14,156.966
# S 792
792,OK,1,683061,2,10,15,13 -2 -22 8 -5,6.709
# S 842
842,OK,1,755217,2,10,15,13 4 -24 -8 -1,10.597
# S 892
892,OK,1,929124,2,10,16,51 7 9 -18 -28,70.714
# S 942
942,OK,1,782729,2,10,15,12 -21 6 10 12,3.218
# S 992
992,OK,1,961917,2,10,16,21 -7 -17 -9 -36,18.511
# S 1042
1042,OK,1,1206557,2,11,16,13 -33 44 -35 -2,320.529
# S 1092
1092,OK,1,965401,2,10,16,27 -10 -3 -8 32,13.483
# S 1142
1142,OK,1,936284,2,10,13,5 6 1 2 2,0.016
# S 1192
1192,OK,1,850104,2,10,16,55 14 -5 26 14,120.947
# S 1242
1242,OK,1,1281252,2,11,16,36 -41 7 -30 29,70.685
# S 1292
1292,OK,1,289081,2,10,15,32 9 5 -6 16,0.604
# S 1342
1342,OK,1,668300,2,10,16,60 -42 -9 8 -10,117.622
# S 1392
1392,OK,1,574088,2,10,16,73 6 23 -15 -12,153.541
# S 1442
1442,OK,1,1215988,2,11,16,14 0 5 -20 49,12.047
# S 1492
1492,OK,1,1189609,2,11,16,51 2 23 -33 -3,287.148
# S 1542
1542,OK,1,887085,2,10,16,44 -48 -8 14 -9,180.708
# S 1592
1592,OK,1,698053,2,10,16,7 19 -6 13 28,13.336
# S 1642
1642,OK,1,614329,2,10,16,30 -24 -5 9 35,21.64
# S 1692
1692,OK,1,897241,2,10,16,2 37 4 -21 -25,51.057
# S 1742
1742,OK,1,1323717,2,11,15,31 10 3 -22 15,2.765
# S 1792
1792,OK,1,936544,2,10,15,23 -12 15 5 14,1.087
# S 1842
1842,OK,1,759216,2,10,14,10 7 -4 -1 7,0.092
# S 1892
1892,OK,1,862484,2,10,16,21 -25 26 9 21,109.641
# S 1942
1942,OK,1,334896,2,10,15,9 -34 17 -2 -2,6.482
# S 1992
1992,OK,1,646753,2,10,15,0 33 7 5 1,9.728
# S 2042
2042,OK,1,242304,2,9,15,24 -5 -10 14 9,2.469
# S 2092
2092,OK,1,1284769,2,11,16,9 -2 14 -59 -5,254.373
# S 2142
2142,OK,1,1423972,2,11,16,1 42 7 -26 -15,156.246
# S 2192
2192,OK,1,388256,2,10,15,26 -17 -13 -6 9,3.298
# S 2242
2242,OK,1,739153,2,10,15,32 -7 13 7 -2,8.298
# S 2292
2292,OK,1,280101,2,10,16,21 -11 43 8 -12,119.267
# S 2342
2342,OK,1,900056,2,10,16,11 24 0 2 38,17.756
# S 2392
2392,OK,1,680912,2,10,16,9 -9 -22 11 26,29.647
# S 2442
2442,OK,1,853145,2,10,16,26 -46 10 -7 1,302.977
# S 2492
2492,OK,1,1286064,2,11,16,20 6 -36 -20 43,20.989
# S 2542
2542,OK,1,715837,2,10,17,117 21 -50 -66 -87,401.288
# S 2592
2592,OK,1,592057,2,10,17,37 28 7 21 -76,431.015
# S 2642
2642,OK,1,460985,2,10,16,64 19 5 -8 -22,91.554
# S 2692
2692,OK,1,763396,2,10,15,10 7 -9 -22 7,5.455
# S 2742
2742,OK,1,390900,2,10,16,29 31 2 8 37,11.794
# S 2792
2792,OK,1,882257,2,10,16,74 -57 30 -22 5,247.124
# S 2842
2842,OK,1,904472,2,10,16,38 -38 22 -18 -33,36.627
# S 2892
2892,OK,1,1228184,2,11,16,13 -45 7 -36 5,287.535
# S 2942
2942,OK,1,713396,2,10,16,28 -20 -39 -15 -16,68.376
# S 2992
2992,OK,1,935256,2,10,16,0 41 13 13 39,15.611
# S 3042
3042,OK,1,578481,2,10,14,7 -8 9 -3 1,0.376
# S 3092
3092,OK,1,695841,2,10,14,2 -9 3 -7 1,0.398
# S 3142
3142,OK,1,813192,2,10,15,21 20 16 -16 6,6.018
# S 3192
3192,OK,1,883785,2,10,17,41 -22 -7 0 -68,417.263
# S 3242
3242,OK,1,1168633,2,11,16,65 -5 22 -43 -10,203.782
# S 3292
3292,OK,1,618436,2,10,16,31 4 19 1 36,14.858
# S 3342
3342,OK,1,1010057,2,10,16,25 59 -18 5 -18,137.09
# S 3392
3392,OK,1,855332,2,10,15,12 29 -8 0 -2,9.756
# S 3442
3442,OK,1,903588,2,10,16,30 18 -27 -4 -13,186.88
# S 3492
3492,OK,1,508592,2,10,17,62 23 -39 28 -65,376.745
# S 3542
3542,OK,1,892901,2,10,16,37 -1 -19 13 -28,46.973
# S 3592
3592,OK,1,806888,2,10,16,29 2 -22 -8 38,15.911
# S 3642
3642,OK,1,986213,2,10,16,23 -10 16 -16 29,30.329
# S 3692
3692,OK,1,1586632,2,11,15,6 -19 -13 5 5,8.517
# S 3742
3742,OK,1,173625,2,9,16,39 -9 -25 16 -24,45.152
# S 3792
3792,OK,1,899509,2,10,16,33 -63 -20 34 6,208.561
# S 3842
3842,OK,1,1304092,2,11,16,8 -28 30 22 39,23.542
# S 3892
3892,OK,1,620809,2,10,17,14 48 70 21 -90,374.139
# S 3942
3942,OK,1,162700,2,9,15,15 10 -7 0 -13,0.55
# S 3992
3992,OK,1,995400,2,10,16,37 27 -8 -40 7,230.799
# S 4042
4042,OK,1,1029261,2,10,17,41 -10 43 36 -59,685.39
# S 4092
4092,OK,1,874237,2,10,16,4 56 -3 23 4,276.63
# S 4142
4142,OK,1,1246120,2,11,14,1 -3 -8 -4 -6,0.082
# S 4192
4192,OK,1,657916,2,10,16,46 17 28 9 34,50.431
# S 4242
4242,OK,1,943216,2,10,16,27 2 14 -21 32,23.032
# S 4292
4292,OK,1,1101532,2,11,17,35 -49 -24 42 85,407.09
# S 4342
4342,OK,1,545149,2,10,15,44 5 2 0 4,7.95
# S 4392
4392,OK,1,674660,2,10,17,35 33 82 -26 48,817.322
# S 4442
4442,OK,1,1407889,2,11,15,15 1 -4 -1 19,0.686
# S 4492
4492,OK,1,1053708,2,11,16,62 -41 -20 4 -11,191.456
# S 4542
4542,OK,1,175081,2,9,16,122 5 -2 -22 -11,160.356
# S 4592
4592,OK,1,90993,2,9,16,88 27 -24 26 13,115.004
# S 4642
4642,OK,1,523545,2,10,16,0 17 50 -17 17,114.021
# S 4692
4692,OK,1,42981,2,8,15,24 6 2 -1 -13,0.933
# S 4742
4742,OK,1,246637,2,9,17,95 -34 -9 73 17,557.289
# S 4792
4792,OK,1,328944,2,10,16,6 -50 7 25 9,19.355
# S 4842
4842,OK,1,635260,2,10,15,1 24 -17 -2 -9,3.166
# S 4892
4892,OK,1,862024,2,10,15,33 7 -13 2 -1,10.409
# S 4942
4942,OK,1,496260,2,10,16,35 -25 28 -36 -6,178.625
# S 4992
4992,OK,1,788208,2,10,16,1 11 -5 9 41,13.294
# S 5042
5042,OK,1,1163981,2,11,16,54 7 1 -8 18,110.157
# S 5092
5092,OK,1,304916,2,10,16,1 23 13 -17 25,21.923
# S 5142
5142,OK,1,525120,2,10,15,6 23 -12 -6 -12,1.36
# S 5192
5192,OK,1,740024,2,10,15,7 16 -25 12 8,4.416
# S 5242
5242,OK,1,761169,2,10,16,3 -13 12 -5 -40,14.224
# S 5292
5292,OK,1,174585,2,9,17,22 -57 -2 -25 -54,321.433
# S 5342
5342,OK,1,1215421,2,11,17,44 6 54 10 91,577.338
# S 5392
5392,OK,1,413644,2,10,16,75 -18 -3 12 -22,37.008
# S 5442
5442,OK,1,539608,2,10,15,17 -23 3 2 8,2.658
# S 5492
5492,OK,1,1239681,2,11,16,44 -10 -9 -40 22,90.921
# S 5542
5542,OK,1,546604,2,10,16,35 31 40 -6 -14,27.218
# S 5592
5592,OK,1,713905,2,10,14,0 5 -11 -7 3,0.277
# S 5642
5642,OK,1,824444,2,10,16,56 -23 -9 -13 17,64.239
# S 5692
5692,OK,1,811060,2,10,16,13 -39 4 -37 10,192.376
# S 5742
5742,OK,1,549164,2,10,15,21 -3 9 10 6,4.595
# S 5792
5792,OK,1,1317969,2,11,16,4 -1 4 34 -37,30.732
# S 5842
5842,OK,1,703104,2,10,16,4 -47 3 -21 26,20.666
# S 5892
5892,OK,1,1061857,2,11,15,17 4 6 -5 -12,1.797
# S 5942
5942,OK,1,553452,2,10,16,12 8 -13 2 38,12.956
# S 5992
5992,OK,1,999625,2,10,16,32 17 -18 49 16,68.819
# S 6042
6042,OK,1,494500,2,10,16,13 23 51 -8 7,245.967
# S 6092
6092,OK,1,1172645,2,11,16,35 -32 19 9 -21,128.494
# S 6142
6142,OK,1,1187657,2,11,16,13 14 43 12 27,36.518
# S 6192
6192,OK,1,980408,2,10,16,17 -1 -28 26 -20,130.619
# S 6242
6242,OK,1,856876,2,10,15,4 -4 -20 0 11,4.172
# S 6292
6292,OK,1,1124160,2,11,16,22 -38 -31 -14 -20,112.21
# S 6342
6342,OK,1,444801,2,10,16,32 3 19 10 26,50.029
# S 6392
6392,OK,1,896581,2,10,16,2 27 -16 25 -34,97.406
# S 6442
6442,OK,1,847324,2,10,16,36 5 23 -24 -13,181.646
# S 6492
6492,OK,1,520697,2,10,16,63 -17 -21 21 8,39.368
# S 6542
6542,OK,1,727376,2,10,16,36 -15 38 10 -12,187.329
# S 6592
6592,OK,1,1123444,2,11,16,11 -12 -50 26 24,83.982
# S 6642
6642,OK,1,1031400,2,10,17,41 59 19 31 -100,354.767
# S 6692
6692,OK,1,551092,2,10,15,25 -17 14 -5 10,3.04
# S 6742
