# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 17 of = 50
# kmax_cap = 33
# generated = 2026-08-27 13:06:43 host = bp1-compute174
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 18
18,OK,1,1253792,2,11,16,48 -7 -14 -11 10,172.749
# S 68
68,OK,1,919437,2,10,16,32 -3 -22 4 44,11.705
# S 118
118,OK,1,694956,2,10,17,83 16 22 54 72,355.233
# S 168
168,OK,1,712836,2,10,16,15 23 8 -22 -36,21.57
# S 218
218,OK,1,1200428,2,11,16,52 -23 16 20 -16,162.514
# S 268
268,OK,1,892873,2,10,15,10 -15 -15 -16 -6,5.395
# S 318
318,OK,1,485456,2,10,16,-1 31 36 -34 24,61.385
# S 368
368,OK,1,875929,2,10,16,27 3 23 2 -28,43.791
# S 418
418,OK,1,737476,2,10,15,12 9 -19 -5 1,9.248
# S 468
468,OK,1,977080,2,10,16,35 42 3 -12 -3,272.454
# S 518
518,OK,1,262725,2,10,16,58 0 -2 25 -15,34.729
# S 568
568,OK,1,893569,2,10,16,0 24 -9 -33 -28,34.189
# S 618
618,OK,1,456845,2,10,16,54 8 23 -15 27,35.573
# S 668
668,OK,1,1399200,2,11,16,9 12 12 14 -39,21.646
# S 718
718,OK,1,203232,2,9,16,79 0 -16 33 -26,40.316
# S 768
768,OK,1,352924,2,10,17,44 -48 -38 11 -56,999.174
# S 818
818,OK,1,513356,2,10,16,7 13 21 4 20,42.284
# S 868
868,OK,1,1224961,2,11,17,16 22 27 80 -91,329.325
# S 918
918,OK,1,644761,2,10,16,39 -34 17 1 26,35.252
# S 968
968,OK,1,839673,2,10,16,68 39 -3 10 -15,135.845
# S 1018
1018,OK,1,612092,2,10,16,38 -25 -23 9 9,184.796
# S 1068
1068,OK,1,1071092,2,11,16,23 28 -22 10 28,18.094
# S 1118
1118,OK,1,691753,2,10,16,29 -4 -42 1 -24,15.488
# S 1168
1168,OK,1,474064,2,10,16,47 53 -15 22 -15,104.875
# S 1218
1218,OK,1,715664,2,10,16,28 23 8 -18 -36,11.925
# S 1268
1268,OK,1,769941,2,10,16,14 -2 -12 -48 -5,238.54
# S 1318
1318,OK,1,130105,2,9,17,53 12 -61 -16 71,289.875
# S 1368
1368,OK,1,819400,2,10,16,33 50 23 -9 13,133.589
# S 1418
1418,OK,1,1233080,2,11,15,16 13 24 -6 -11,4.147
# S 1468
1468,OK,1,761233,2,10,15,4 7 -19 20 6,2.846
# S 1518
1518,OK,1,344841,2,10,16,55 -45 33 5 -11,122.826
# S 1568
1568,OK,1,829516,2,10,16,25 1 -23 -14 -40,10.946
# S 1618
1618,OK,1,488068,2,10,16,16 -15 -13 -4 35,10.439
# S 1668
1668,OK,1,823437,2,10,17,54 16 -58 -36 45,819.908
# S 1718
1718,OK,1,1160933,2,11,17,51 21 35 34 83,365.203
# S 1768
1768,OK,1,347345,2,10,17,130 27 -60 8 44,1056.276
# S 1818
1818,OK,1,925128,2,10,16,56 11 14 42 -15,82.857
# S 1868
