# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 48 of = 50
# kmax_cap = 33
# generated = 2026-08-28 12:39:36 host = bp1-compute064
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 49
49,OK,1,450452,2,10,16,43 52 28 9 25,40.692
# S 99
99,OK,1,1267004,2,11,16,23 44 -26 22 22,93.794
# S 149
149,OK,1,440680,2,10,16,37 3 43 -5 -3,260.903
# S 199
199,OK,1,1045156,2,10,16,22 -34 -14 -31 29,64.332
# S 249
249,OK,1,1373073,2,11,15,23 2 2 -3 12,3.845
# S 299
299,OK,1,600189,2,10,16,40 33 -36 -26 20,54.649
# S 349
349,OK,1,165416,2,9,16,96 12 12 5 17,99.613
# S 399
399,OK,1,898297,2,10,15,33 3 -1 -9 0,11.087
# S 449
449,OK,1,612064,2,10,15,4 -16 17 16 3,8.026
# S 499
499,OK,1,660129,2,10,16,31 -60 -14 13 4,233.346
# S 549
549,OK,1,1133852,2,11,17,11 11 -53 14 93,335.868
# S 599
599,OK,1,594753,2,10,16,28 33 -19 -19 22,43.077
# S 649
649,OK,1,1209056,2,11,15,27 -2 -14 -8 19,1.593
# S 699
699,OK,1,1235473,2,11,16,19 -15 -2 -32 43,15.009
# S 749
749,OK,1,858272,2,10,16,2 45 -31 -9 -13,152.066
# S 799
799,OK,1,627433,2,10,16,1 -16 52 -5 6,219.588
# S 849
849,OK,1,167208,2,9,17,67 18 30 -4 -46,645.371
# S 899
899,OK,1,588225,2,10,15,7 19 -6 -13 14,1.604
# S 949
949,OK,1,587953,2,10,16,66 48 -36 -36 7,237.278
# S 999
999,OK,1,983232,2,10,15,19 3 15 16 5,4.331
# S 1049
1049,OK,1,1334817,2,11,16,8 -1 -36 -46 -46,17.991
# S 1099
1099,OK,1,373781,2,10,16,29 -40 13 -2 -34,17.782
# S 1149
1149,OK,1,878708,2,10,17,5 -28 20 8 -71,490.347
# S 1199
1199,OK,1,871516,2,10,16,45 37 -41 -36 14,169.76
# S 1249
1249,OK,1,973604,2,10,16,6 49 33 8 -32,20.412
# S 1299
1299,OK,1,1404161,2,11,16,28 33 -14 9 -42,24.713
# S 1349
1349,OK,1,1317856,2,11,17,58 -26 79 -9 -70,881.1
# S 1399
1399,OK,1,842372,2,10,15,3 -25 8 3 -3,9.518
# S 1449
1449,OK,1,1271096,2,11,16,23 -18 -9 -42 14,181.42
# S 1499
1499,OK,1,1221764,2,11,16,30 -2 -10 14 29,29.772
# S 1549
1549,OK,1,721081,2,10,16,62 -39 -19 33 -16,100.165
# S 1599
1599,OK,1,639565,2,10,17,33 -26 51 -2 -53,380.255
# S 1649
1649,OK,1,668521,2,10,15,14 -11 -2 20 3,7.95
# S 1699
1699,OK,1,762201,2,10,16,24 18 43 -16 -22,59.918
# S 1749
1749,OK,1,989121,2,10,16,28 -13 21 -19 -30,23.688
# S 1799
1799,OK,1,949980,2,10,15,19 1 -2 -9 -10,0.857
# S 1849
1849,OK,1,874473,2,10,16,74 29 12 10 -3,301.03
# S 1899
1899,OK,1,1047093,2,10,17,74 -19 -35 15 -83,367.789
# S 1949
1949,OK,1,476504,2,10,16,27 -9 -15 2 -30,15.59
# S 1999
1999,OK,1,943517,2,10,15,2 24 14 13 8,4.886
# S 2049
2049,OK,1,463077,2,10,15,39 -1 11 12 2,8.684
# S 2099
2099,OK,1,970657,2,10,14,2 13 7 4 2,0.35
# S 2149
2149,OK,1,1085684,2,11,16,21 -2 -10 22 -44,14.025
# S 2199
2199,OK,1,1018249,2,10,17,51 -4 -28 -14 -85,465.531
# S 2249
2249,OK,1,659669,2,10,17,17 -48 17 -60 90,335.88
# S 2299
2299,OK,1,1087833,2,11,16,36 -49 26 -1 -11,201.792
# S 2349
2349,OK,1,951049,2,10,16,41 5 10 5 41,17.2
# S 2399
2399,OK,1,1039821,2,10,17,28 -43 17 -11 90,372.229
# S 2449
2449,OK,1,1434697,2,11,16,16 3 -28 -44 26,69.742
# S 2499
2499,OK,1,1031588,2,10,17,2 -27 -58 43 78,448.93
# S 2549
2549,OK,1,664101,2,10,16,2 -6 40 -9 15,97.68
# S 2599
2599,OK,1,440861,2,10,16,45 -49 32 12 2,272.703
# S 2649
2649,OK,1,795868,2,10,15,15 -6 2 3 20,0.549
# S 2699
2699,OK,1,527701,2,10,15,9 -11 -7 -17 18,0.865
# S 2749
2749,OK,1,660044,2,10,16,79 -4 44 -18 -14,90.87
# S 2799
2799,OK,1,593449,2,10,15,38 5 20 -19 2,8.539
# S 2849
2849,OK,1,920844,2,10,16,26 -45 -7 30 4,262.382
# S 2899
2899,OK,1,388088,2,10,15,30 -17 3 -8 1,10.055
# S 2949
2949,OK,1,547313,2,10,15,20 -3 -1 -16 -7,0.665
# S 2999
2999,OK,1,979777,2,10,16,18 47 -6 -7 -22,92.983
# S 3049
