# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 3 of = 50
# kmax_cap = 33
# generated = 2026-08-27 06:07:13 host = bp1-compute183
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 4
4,OK,1,939753,2,10,16,27 18 14 -35 -44,13.496
# S 54
54,OK,1,1414176,2,11,17,56 57 3 5 -63,1019.85
# S 104
104,OK,1,847393,2,10,15,7 12 24 9 -12,1.783
# S 154
154,OK,1,819864,2,10,16,51 37 -17 -6 17,93.217
# S 204
204,OK,1,597412,2,10,16,7 27 -36 -3 25,23.69
# S 254
254,OK,1,489353,2,10,16,12 10 -25 -1 44,9.085
# S 304
304,OK,1,703261,2,10,16,17 4 -1 22 38,12.177
# S 354
354,OK,1,784441,2,10,15,6 9 5 16 -11,3.397
# S 404
404,OK,1,266181,2,10,16,38 19 33 20 -22,28.171
# S 454
454,OK,1,854201,2,10,16,5 -32 38 19 12,100.931
# S 504
504,OK,1,1046197,2,10,16,9 -22 39 1 38,16.985
# S 554
554,OK,1,1242192,2,11,16,38 5 -19 -9 -41,19.332
# S 604
604,OK,1,578984,2,10,15,21 -8 -13 -9 -8,3.182
# S 654
654,OK,1,596885,2,10,16,1 11 -36 35 -30,33.462
# S 704
704,OK,1,1489737,2,11,15,5 -3 15 -5 6,6.355
# S 754
754,OK,1,729816,2,10,16,35 -42 -27 0 -10,149.074
# S 804
804,OK,1,685481,2,10,16,29 30 21 -11 22,61.449
# S 854
854,OK,1,873633,2,10,16,19 -17 36 -6 41,10.321
# S 904
904,OK,1,727905,2,10,16,36 15 34 -6 17,71.555
# S 954
954,OK,1,479172,2,10,16,17 38 23 -25 18,51.679
# S 1004
1004,OK,1,408137,2,10,17,28 -92 14 14 33,649.905
# S 1054
1054,OK,1,852808,2,10,16,49 41 -22 -40 -9,143.787
# S 1104
1104,OK,1,1424577,2,11,17,17 67 -47 61 103,304.734
# S 1154
1154,OK,1,882516,2,10,16,6 35 41 -10 -1,263.296
# S 1204
1204,OK,1,1387460,2,11,16,30 -40 -25 -22 19,127.251
# S 1254
1254,OK,1,1420549,2,11,15,18 -20 23 -15 5,7.277
# S 1304
1304,OK,1,785836,2,10,15,32 7 18 -10 -9,3.231
# S 1354
1354,OK,1,100612,2,9,17,109 54 31 3 22,249.405
# S 1404
1404,OK,1,984776,2,10,15,20 2 -1 -22 0,9.562
# S 1454
1454,OK,1,1004169,2,10,16,1 17 18 -24 -32,25.31
# S 1504
1504,OK,1,987396,2,10,17,59 9 -27 -65 -33,2153.823
# S 1554
1554,OK,1,1349840,2,11,16,3 -15 -8 -11 40,16.893
# S 1604
1604,OK,1,929693,2,10,15,23 -22 -15 18 16,0.685
# S 1654
1654,OK,1,537132,2,10,15,10 -30 12 -7 1,8.409
# S 1704
1704,OK,1,921376,2,10,16,12 33 8 -47 11,164.634
# S 1754
1754,OK,1,754185,2,10,16,17 -5 -36 1 30,13.342
# S 1804
1804,OK,1,701137,2,10,16,41 19 6 -24 16,97.235
# S 1854
1854,OK,1,910356,2,10,15,6 0 12 1 -13,0.644
# S 1904
1904,OK,1,710008,2,10,16,46 -23 14 10 21,33.398
# S 1954
1954,OK,1,1143344,2,11,16,52 -17 -20 35 19,110.296
# S 2004
2004,OK,1,729108,2,10,16,52 -47 6 1 21,80.63
# S 2054
2054,OK,1,1351636,2,11,15,24 13 9 18 18,1.451
# S 2104
2104,OK,1,942465,2,10,16,44 -26 -22 -12 37,14.704
# S 2154
2154,OK,1,519077,2,10,16,6 -4 21 -29 23,12.661
# S 2204
2204,OK,1,435104,2,10,16,-58 12 58 5 -17,31.596
# S 2254
2254,OK,1,1134917,2,11,15,14 30 6 2 9,2.352
# S 2304
2304,OK,1,959708,2,10,16,18 -3 32 -6 -31,24.489
# S 2354
2354,OK,1,361536,2,10,16,34 5 16 -6 -25,22.636
# S 2404
2404,OK,1,963832,2,10,15,2 24 -2 11 4,7.21
# S 2454
2454,OK,1,798741,2,10,15,7 -2 5 9 20,0.569
# S 2504
2504,OK,1,535112,2,10,17,4 29 11 -5 71,260.701
# S 2554
2554,OK,1,878357,2,10,16,40 3 49 23 -20,59.523
# S 2604
2604,OK,1,1272184,2,11,15,5 -14 -22 -22 -7,3.63
# S 2654
2654,OK,1,607632,2,10,15,21 12 3 -4 -17,0.437
# S 2704
2704,OK,1,489085,2,10,16,54 12 32 -6 5,203.733
# S 2754
2754,OK,1,1263632,2,11,16,72 -28 12 -45 -20,67.737
# S 2804
2804,OK,1,577156,2,10,16,22 -10 -1 -27 -38,12.152
# S 2854
2854,OK,1,509044,2,10,16,45 45 47 4 13,88.167
# S 2904
2904,OK,1,1047429,2,10,15,28 -1 2 -6 4,7.727
# S 2954
2954,OK,1,1060941,2,11,16,40 13 30 12 -35,28.567
# S 3004
3004,OK,1,1072321,2,11,15,25 -3 -14 2 -5,6.59
# S 3054
3054,OK,1,1213313,2,11,16,39 18 17 -1 -48,9.879
# S 3104
3104,OK,1,894748,2,10,16,38 23 -49 -18 -16,85.248
# S 3154
3154,OK,1,919444,2,10,16,32 -22 -1 -16 -24,46.888
# S 3204
3204,OK,1,736280,2,10,15,8 28 11 2 4,6.364
# S 3254
3254,OK,1,709369,2,10,16,29 28 -13 11 29,40.293
# S 3304
3304,OK,1,1573572,2,11,16,46 -38 11 -2 33,44.265
# S 3354
3354,OK,1,620025,2,10,16,67 32 -20 -22 -21,83.54
# S 3404
3404,OK,1,1016177,2,10,16,59 12 15 20 -6,208.094
# S 3454
3454,OK,1,237685,2,9,16,96 -23 14 -1 -11,48.362
# S 3504
3504,OK,1,409297,2,10,16,26 -30 -46 -9 -7,161.557
# S 3554
3554,OK,1,710188,2,10,16,4 18 -51 15 -11,130.595
# S 3604
3604,OK,1,733192,2,10,16,37 -1 -43 -22 19,47.582
# S 3654
3654,OK,1,588420,2,10,16,39 -23 20 14 -34,14.655
# S 3704
