# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 14 of = 50
# kmax_cap = 33
# generated = 2026-08-27 13:02:49 host = bp1-compute098
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 15
15,OK,1,620796,2,10,17,72 -31 21 8 74,319.599
# S 65
65,OK,1,1467801,2,11,15,31 18 0 -11 6,7.4
# S 115
115,OK,1,515229,2,10,16,8 -15 -51 -22 7,212.126
# S 165
165,OK,1,1166073,2,11,16,58 -11 13 -26 10,209.966
# S 215
215,OK,1,951284,2,10,15,24 -11 0 0 -5,5.648
# S 265
265,OK,1,922724,2,10,16,41 23 5 18 -25,43.861
# S 315
315,OK,1,371713,2,10,16,23 26 42 -31 3,214.649
# S 365
365,OK,1,1072288,2,11,16,9 -37 45 18 15,68.968
# S 415
415,OK,1,596356,2,10,16,40 -44 -10 -41 -8,96.918
# S 465
465,OK,1,760952,2,10,15,0 3 -7 -17 -9,3.389
# S 515
515,OK,1,1301144,2,11,16,16 -41 -30 -25 30,27.862
# S 565
565,OK,1,771676,2,10,16,54 -19 24 -28 12,129.588
# S 615
615,OK,1,325873,2,10,16,50 3 27 -11 16,100.987
# S 665
665,OK,1,1372661,2,11,15,6 -6 -3 -4 -19,0.75
# S 715
715,OK,1,870149,2,10,16,37 20 15 15 21,28.56
# S 765
765,OK,1,612385,2,10,16,34 3 -18 -34 22,24.155
# S 815
815,OK,1,1103872,2,11,15,2 -4 -15 -2 -22,0.622
# S 865
865,OK,1,850896,2,10,16,22 21 30 -40 12,121.348
# S 915
915,OK,1,1091861,2,11,16,15 -44 -51 44 3,249.816
# S 965
965,OK,1,692908,2,10,16,17 3 30 -22 16,113.106
# S 1015
1015,OK,1,666721,2,10,16,11 -32 -15 0 -32,25.84
# S 1065
1065,OK,1,742285,2,10,16,44 19 -4 -13 28,22.7
# S 1115
1115,OK,1,683840,2,10,15,1 -26 8 2 -12,1.399
# S 1165
1165,OK,1,295868,2,10,15,19 10 -6 10 9,3.014
# S 1215
1215,OK,1,978089,2,10,16,48 16 -11 -15 30,55.859
# S 1265
1265,OK,1,225184,2,9,16,110 -9 19 -23 -13,118.848
# S 1315
1315,OK,1,550069,2,10,17,28 -69 3 7 -77,359.933
# S 1365
1365,OK,1,735889,2,10,16,31 17 8 36 -10,184.026
# S 1415
1415,OK,1,342780,2,10,16,1 -42 11 -2 -31,25.393
# S 1465
1465,OK,1,259901,2,9,16,89 32 -6 -9 16,37.383
# S 1515
1515,OK,1,520817,2,10,16,81 -34 13 16 3,234.029
# S 1565
1565,OK,1,731664,2,10,16,56 -23 23 -23 -13,147.268
# S 1615
1615,OK,1,953720,2,10,16,21 13 30 -19 -22,87.693
# S 1665
1665,OK,1,931397,2,10,17,42 50 23 -28 75,389.78
# S 1715
1715,OK,1,631529,2,10,16,2 2 -12 -25 -43,10.62
# S 1765
1765,OK,1,598896,2,10,15,21 16 -4 6 16,1.575
# S 1815
1815,OK,1,945897,2,10,16,62 -11 -10 -16 -21,60.466
# S 1865
1865,OK,1,798097,2,10,16,32 -21 -15 24 21,84.036
# S 1915
1915,OK,1,596900,2,10,16,3 -11 -11 14 40,10.598
# S 1965
1965,OK,1,1352601,2,11,15,10 -8 -22 11 3,8.419
# S 2015
2015,OK,1,551188,2,10,16,3 27 -1 -8 -34,15.041
# S 2065
2065,OK,1,729433,2,10,15,5 -3 -21 6 8,2.536
# S 2115
2115,OK,1,796729,2,10,16,4 26 46 26 -9,188.292
# S 2165
2165,OK,1,1035377,2,10,16,45 -30 -22 37 6,223.689
# S 2215
2215,OK,1,576161,2,10,16,75 25 -19 12 21,82.926
# S 2265
2265,OK,1,907897,2,10,16,14 -8 43 12 -23,48.266
# S 2315
2315,OK,1,1056629,2,11,16,45 9 -10 16 21,32.037
# S 2365
2365,OK,1,835453,2,10,16,62 5 -8 -10 15,145.83
# S 2415
2415,OK,1,1152664,2,11,15,0 2 -12 -9 -20,0.646
# S 2465
2465,OK,1,1039788,2,10,15,9 10 -10 -9 20,0.711
# S 2515
2515,OK,1,1133068,2,11,16,65 16 3 -3 20,102.372
# S 2565
2565,OK,1,403897,2,10,15,20 -26 -3 -6 -2,7.602
# S 2615
2615,OK,1,743837,2,10,16,43 -32 22 22 23,57.824
# S 2665
2665,OK,1,557445,2,10,17,20 -21 48 1 -47,323.257
# S 2715
2715,OK,1,541664,2,10,16,36 42 29 -16 13,121.786
# S 2765
2765,OK,1,464289,2,10,16,38 36 4 -16 19,40.079
# S 2815
2815,OK,1,363496,2,10,15,12 21 6 -4 16,0.467
# S 2865
2865,OK,1,1310456,2,11,15,15 -33 -23 8 6,5.974
# S 2915
2915,OK,1,814756,2,10,16,33 9 -68 2 6,192.935
# S 2965
2965,OK,1,658225,2,10,17,7 31 13 -22 -61,298.328
# S 3015
3015,OK,1,759681,2,10,15,12 13 -22 6 -9,2.392
# S 3065
3065,OK,1,1152601,2,11,16,55 13 21 -7 -9,204.195
# S 3115
3115,OK,1,708480,2,10,14,14 1 5 2 -4,0.153
# S 3165
3165,OK,1,1141720,2,11,15,7 11 15 1 -7,5.259
# S 3215
3215,OK,1,783700,2,10,17,1 -14 37 24 77,284.879
# S 3265
3265,OK,1,910225,2,10,16,50 17 19 -13 -33,21.022
# S 3315
3315,OK,1,620772,2,10,15,31 13 8 -9 -6,4.609
# S 3365
3365,OK,1,498584,2,10,14,1 6 12 2 2,0.268
# S 3415
3415,OK,1,680137,2,10,16,24 -26 27 4 -23,57.372
# S 3465
3465,OK,1,993680,2,10,16,43 29 4 -13 -25,68.708
# S 3515
3515,OK,1,731360,2,10,15,17 -4 -12 20 -3,8.124
# S 3565
3565,OK,1,736156,2,10,16,38 -18 -15 -15 28,50.66
# S 3615
3615,OK,1,598260,2,10,16,48 15 5 8 21,71.982
# S 3665
3665,OK,1,582548,2,10,16,7 16 -15 7 -32,9.631
# S 3715
3715,OK,1,845212,2,10,16,43 -11 -6 -31 31,19.292
# S 3765
