# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 25 of = 50
# kmax_cap = 33
# generated = 2026-08-27 19:47:24 host = bp1-compute060
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 26
26,OK,1,1031824,2,10,16,7 31 -6 36 -27,36.595
# S 76
76,OK,1,953576,2,10,16,28 14 13 32 -39,23.297
# S 126
126,OK,1,742496,2,10,16,39 -1 -14 -39 -15,125.029
# S 176
176,OK,1,820169,2,10,15,12 26 13 5 9,1.146
# S 226
226,OK,1,916453,2,10,16,28 39 13 17 30,25.205
# S 276
276,OK,1,930809,2,10,15,10 21 6 -5 -14,1.674
# S 326
326,OK,1,844908,2,10,16,16 -41 12 18 13,172.045
# S 376
376,OK,1,409444,2,10,16,35 -57 35 5 9,161.598
# S 426
426,OK,1,894584,2,10,16,51 4 -4 -22 -14,110.771
# S 476
476,OK,1,1204912,2,11,15,0 21 13 1 -3,9.174
# S 526
526,OK,1,1014969,2,10,16,11 -17 -29 8 -30,25.763
# S 576
576,OK,1,928896,2,10,15,19 -1 11 2 13,1.317
# S 626
626,OK,1,813649,2,10,15,25 5 2 15 -5,5.859
# S 676
676,OK,1,621825,2,10,16,9 1 4 -17 35,10.784
# S 726
726,OK,1,1047748,2,10,16,10 20 -8 39 -25,66.275
# S 776
776,OK,1,1296297,2,11,17,55 -104 -97 39 49,2137.53
# S 826
826,OK,1,408012,2,10,16,12 -17 27 9 -35,14.667
# S 876
876,OK,1,453381,2,10,15,16 2 -5 -8 -16,0.45
# S 926
926,OK,1,462312,2,10,16,27 37 3 -12 20,17.16
# S 976
976,OK,1,571584,2,10,16,11 17 29 -39 -13,106.556
# S 1026
1026,OK,1,394997,2,10,15,25 21 10 1 8,2.338
# S 1076
1076,OK,1,814849,2,10,16,11 19 -17 48 16,113.207
# S 1126
1126,OK,1,908700,2,10,16,29 6 -35 -21 18,136.77
# S 1176
1176,OK,1,280180,2,10,15,47 15 15 2 -5,3.922
# S 1226
1226,OK,1,564692,2,10,16,72 -11 7 31 -8,201.35
# S 1276
1276,OK,1,279936,2,10,16,11 42 8 -8 25,12.324
# S 1326
1326,OK,1,955201,2,10,16,30 8 59 -9 -19,62.62
# S 1376
1376,OK,1,446061,2,10,16,35 -46 -4 10 -15,27.695
# S 1426
1426,OK,1,262153,2,10,15,13 -23 2 3 -10,2.213
# S 1476
1476,OK,1,939232,2,10,16,52 17 30 8 -3,277.842
# S 1526
1526,OK,1,847476,2,10,16,7 -38 -55 18 18,46.286
# S 1576
1576,OK,1,1181996,2,11,16,38 -6 50 20 -19,108.399
# S 1626
1626,OK,1,1068829,2,11,16,16 28 -34 22 3,276.562
# S 1676
1676,OK,1,778097,2,10,16,41 -23 -14 -28 15,79.971
# S 1726
1726,OK,1,816652,2,10,16,43 -33 27 16 -14,155.431
# S 1776
1776,OK,1,1097841,2,11,16,12 -11 47 -20 -10,188.711
# S 1826
1826,OK,1,629140,2,10,13,7 3 -3 -2 -2,0.013
# S 1876
1876,OK,1,830057,2,10,16,17 44 -24 22 39,18.184
# S 1926
1926,OK,1,686173,2,10,16,26 -31 36 22 -26,31.292
# S 1976
1976,OK,1,733420,2,10,16,23 -61 18 15 -7,164.561
# S 2026
