# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 38 of = 50
# kmax_cap = 33
# generated = 2026-08-28 04:18:45 host = bp1-compute064
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 39
39,OK,1,936588,2,10,16,1 22 7 -44 -37,21.593
# S 89
89,OK,1,686380,2,10,16,13 -10 -18 -13 -33,15.489
# S 139
139,OK,1,910072,2,10,16,17 7 -18 24 33,13.237
# S 189
189,OK,1,791365,2,10,15,2 0 2 12 -13,1.155
# S 239
239,OK,1,1027657,2,10,16,12 -49 34 27 5,256.338
# S 289
289,OK,1,1123988,2,11,16,23 -2 -16 34 14,163.016
# S 339
339,OK,1,569453,2,10,16,20 19 27 33 7,169.844
# S 389
389,OK,1,1158100,2,11,17,21 -8 31 25 -85,365.449
# S 439
439,OK,1,388444,2,10,16,40 8 7 -11 -35,10.438
# S 489
489,OK,1,396657,2,10,17,20 49 -38 -34 38,1303.303
# S 539
539,OK,1,543388,2,10,15,31 -17 -1 5 -12,1.142
# S 589
589,OK,1,305769,2,10,16,76 -8 -5 21 -12,155.14
# S 639
639,OK,1,522185,2,10,16,23 -31 -23 -7 16,96.237
# S 689
689,OK,1,784816,2,10,16,40 -45 -15 7 -15,112.377
# S 739
739,OK,1,1456904,2,11,16,32 36 51 26 16,167.789
# S 789
789,OK,1,765560,2,10,16,2 33 -19 36 22,90.606
# S 839
839,OK,1,849069,2,10,16,14 18 -5 -12 -33,43.496
# S 889
889,OK,1,780665,2,10,16,24 19 -1 -13 -38,18.81
# S 939
939,OK,1,625216,2,10,16,50 -5 21 24 25,53.723
# S 989
989,OK,1,1159669,2,11,16,28 44 -45 -14 -9,242.113
# S 1039
1039,OK,1,727017,2,10,16,27 40 12 1 23,79.8
# S 1089
1089,OK,1,588000,2,10,15,24 -5 19 5 -6,4.565
# S 1139
1139,OK,1,1196169,2,11,15,24 -17 -18 -12 -9,5.499
# S 1189
1189,OK,1,775984,2,10,16,28 11 -6 15 30,20.512
# S 1239
1239,OK,1,1262293,2,11,15,1 -6 13 24 -2,11.362
# S 1289
1289,OK,1,587193,2,10,17,5 -17 25 27 73,332.572
# S 1339
1339,OK,1,241016,2,9,15,13 4 -6 13 9,1.502
# S 1389
1389,OK,1,859237,2,10,16,51 5 32 22 17,140.114
# S 1439
1439,OK,1,649576,2,10,16,15 -14 -40 -1 18,25.199
# S 1489
1489,OK,1,1043308,2,10,16,17 4 -37 34 29,66.144
# S 1539
1539,OK,1,776956,2,10,16,58 -15 24 1 13,123.524
# S 1589
1589,OK,1,490728,2,10,16,29 0 41 -11 4,266.451
# S 1639
1639,OK,1,577848,2,10,17,73 -62 41 39 -65,361.917
# S 1689
1689,OK,1,508196,2,10,16,6 -13 14 -8 35,18.898
# S 1739
1739,OK,1,1159492,2,11,15,24 2 -14 -10 -9,4.907
# S 1789
1789,OK,1,106744,2,9,15,23 3 -8 -16 11,2.24
# S 1839
1839,OK,1,1316084,2,11,16,14 37 -9 -20 12,220.322
# S 1889
1889,OK,1,426560,2,10,16,52 -22 10 -34 -15,24.307
# S 1939
1939,OK,1,595008,2,10,17,79 -2 2 56 -71,528.231
# S 1989
1989,OK,1,364801,2,10,16,6 7 -30 -27 -9,108.315
# S 2039
2039,OK,1,1007697,2,10,16,12 -6 17 29 -30,29.974
# S 2089
2089,OK,1,686216,2,10,16,29 -3 -13 -24 -21,110.799
# S 2139
2139,OK,1,783144,2,10,14,2 10 0 3 -5,0.076
# S 2189
2189,OK,1,950248,2,10,15,10 -24 5 14 11,2.787
# S 2239
2239,OK,1,1263848,2,11,15,11 22 22 2 14,2.358
# S 2289
2289,OK,1,592428,2,10,16,9 34 17 -16 -33,19.667
# S 2339
2339,OK,1,786160,2,10,16,45 36 -22 -2 -8,193.492
# S 2389
2389,OK,1,145297,2,9,16,124 -5 -15 5 14,48.616
# S 2439
2439,OK,1,517289,2,10,16,3 28 -48 19 -9,185.262
# S 2489
2489,OK,1,793796,2,10,16,1 15 -14 30 32,17.156
# S 2539
2539,OK,1,1179076,2,11,16,24 -40 27 17 -35,16.392
# S 2589
2589,OK,1,1112665,2,11,16,30 -16 29 19 31,34.684
# S 2639
2639,OK,1,518828,2,10,16,19 45 31 -7 -16,131.588
# S 2689
2689,OK,1,1102741,2,11,16,5 -53 9 -12 9,234.187
# S 2739
2739,OK,1,1203072,2,11,16,28 -15 -17 4 14,192.913
# S 2789
2789,OK,1,309072,2,10,17,80 -2 -1 31 -68,453.73
# S 2839
2839,OK,1,1125561,2,11,15,13 2 -17 -7 -20,0.769
# S 2889
2889,OK,1,759284,2,10,17,92 -28 41 31 -70,340.852
# S 2939
2939,OK,1,895165,2,10,17,28 -45 -51 -52 84,320.668
# S 2989
2989,OK,1,1290585,2,11,16,35 32 23 -38 -17,147.181
# S 3039
3039,OK,1,462796,2,10,16,14 8 13 17 34,35.019
# S 3089
3089,OK,1,410717,2,10,16,21 -16 40 -9 21,73.071
# S 3139
3139,OK,1,464417,2,10,16,24 5 15 3 28,28.786
# S 3189
3189,OK,1,478329,2,10,16,29 -47 9 27 -11,114.161
# S 3239
3239,OK,1,965257,2,10,16,26 31 28 -29 12,175.802
# S 3289
3289,OK,1,884361,2,10,16,4 -63 20 -1 5,261.764
# S 3339
3339,OK,1,733209,2,10,16,31 5 3 18 35,13.662
# S 3389
3389,OK,1,1568688,2,11,16,23 11 -17 -6 27,74.452
# S 3439
3439,OK,1,735012,2,10,16,64 30 43 8 -5,240.068
# S 3489
3489,OK,1,828276,2,10,16,34 -27 -12 35 -23,79.132
# S 3539
3539,OK,1,1116865,2,11,16,4 -11 21 10 -34,32.8
# S 3589
3589,OK,1,870073,2,10,15,5 -23 1 -15 1,10.646
# S 3639
3639,OK,1,452753,2,10,16,2 38 -23 34 13,120.643
# S 3689
3689,OK,1,1364768,2,11,15,4 -26 2 3 -7,6.696
# S 3739
3739,OK,1,876976,2,10,16,9 -24 -44 -4 24,73.409
# S 3789
3789,OK,1,1329276,2,11,16,0 17 -24 39 -40,16.514
# S 3839
3839,OK,1,1426653,2,11,16,14 27 -9 -33 -31,69.076
# S 3889
3889,OK,1,796320,2,10,16,26 -2 29 12 26,34.594
# S 3939
3939,OK,1,1099377,2,11,15,4 -5 11 -23 16,1.926
# S 3989
3989,OK,1,460660,2,10,16,68 -7 -28 26 -5,237.235
# S 4039
4039,OK,1,926860,2,10,17,5 61 -13 -28 49,1644.87
# S 4089
4089,OK,1,659464,2,10,16,7 40 -12 9 -24,19.07
# S 4139
4139,OK,1,891761,2,10,15,8 14 13 -5 0,11.876
# S 4189
4189,OK,1,826996,2,10,17,95 -66 11 -33 -52,1453.01
# S 4239
4239,OK,1,862644,2,10,16,29 -38 30 -29 14,119.178
# S 4289
4289,OK,1,633721,2,10,16,24 -23 -4 -31 -15,148.959
# S 4339
4339,OK,1,1293409,2,11,17,31 -1 -69 -2 -91,439.098
# S 4389
4389,OK,1,679284,2,10,17,84 19 31 -2 -48,458.456
# S 4439
4439,OK,1,603744,2,10,16,28 -31 27 28 -20,88.704
# S 4489
4489,OK,1,1055296,2,11,16,6 38 8 -21 -12,199.484
# S 4539
4539,OK,1,367637,2,10,17,133 -11 -4 7 59,389.076
# S 4589
4589,OK,1,1158868,2,11,16,32 38 -27 13 42,17.336
# S 4639
4639,OK,1,1107985,2,11,16,17 36 14 -14 39,24.916
# S 4689
4689,OK,1,199060,2,9,16,93 30 -21 -2 -14,47.394
# S 4739
4739,OK,1,680396,2,10,16,56 4 -19 -7 -40,12.739
# S 4789
4789,OK,1,381525,2,10,16,77 15 -5 -1 -24,40.393
# S 4839
4839,OK,1,779705,2,10,14,9 1 10 -2 -6,0.105
# S 4889
4889,OK,1,883369,2,10,16,67 8 -3 7 16,128.945
# S 4939
4939,OK,1,798845,2,10,16,31 42 -11 31 -4,278.272
# S 4989
4989,OK,1,379860,2,10,16,57 -43 1 -8 -10,121.647
# S 5039
5039,OK,1,1326672,2,11,16,5 13 8 -42 23,99.977
# S 5089
5089,OK,1,837133,2,10,16,20 20 10 8 29,57.037
# S 5139
5139,OK,1,1202881,2,11,16,62 7 6 -23 12,170.255
# S 5189
