# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 27 of = 50
# kmax_cap = 33
# generated = 2026-08-27 20:43:00 host = bp1-compute064
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 28
28,OK,1,517181,2,10,16,48 23 -5 -25 -32,17.767
# S 78
78,OK,1,916256,2,10,15,29 -9 -7 18 7,6.548
# S 128
128,OK,1,975877,2,10,16,9 43 17 -35 -32,26.432
# S 178
178,OK,1,1229856,2,11,17,39 5 10 -55 81,626.562
# S 228
228,OK,1,839689,2,10,16,48 37 -27 -17 -21,75.796
# S 278
278,OK,1,857049,2,10,17,68 -23 54 18 -53,600.936
# S 328
328,OK,1,523320,2,10,16,47 31 31 4 -15,153.281
# S 378
378,OK,1,802729,2,10,16,17 42 -19 19 -29,23.989
# S 428
428,OK,1,816317,2,10,16,11 -10 31 -52 -18,90.185
# S 478
478,OK,1,977709,2,10,14,6 -4 1 13 4,0.247
# S 528
528,OK,1,744205,2,10,16,1 55 -50 -1 -6,229.264
# S 578
578,OK,1,723288,2,10,17,3 -72 -25 -4 76,365.391
# S 628
628,OK,1,842408,2,10,16,53 -19 -27 -7 -13,102.985
# S 678
678,OK,1,174340,2,9,14,20 -9 -1 -6 0,1.284
# S 728
728,OK,1,440040,2,10,16,13 27 12 45 -14,133.339
# S 778
778,OK,1,994237,2,10,16,32 17 3 -23 20,47.923
# S 828
828,OK,1,573709,2,10,16,17 29 25 24 11,190.019
# S 878
878,OK,1,270441,2,10,14,11 -5 7 -4 4,0.092
# S 928
928,OK,1,1280884,2,11,16,37 -33 15 -32 29,53.504
# S 978
978,OK,1,1294936,2,11,17,23 23 14 -13 94,357.323
# S 1028
1028,OK,1,597113,2,10,16,56 24 -28 14 13,100.977
# S 1078
1078,OK,1,420344,2,10,16,16 -5 5 31 32,12.224
# S 1128
1128,OK,1,166592,2,9,16,76 -35 -40 -1 -4,216.083
# S 1178
1178,OK,1,113105,2,9,16,57 -12 -9 14 -29,11.985
# S 1228
1228,OK,1,983965,2,10,15,1 8 -2 -13 -18,0.894
# S 1278
1278,OK,1,1118489,2,11,17,8 35 19 10 -69,800.229
# S 1328
1328,OK,1,339552,2,10,17,89 -96 -33 -23 37,746.174
# S 1378
1378,OK,1,804116,2,10,16,4 26 -2 13 34,24.022
# S 1428
1428,OK,1,946109,2,10,16,42 -32 19 10 31,23.789
# S 1478
1478,OK,1,772720,2,10,16,34 35 2 1 28,46.337
# S 1528
1528,OK,1,765593,2,10,16,56 -18 21 -32 -7,183.447
# S 1578
1578,OK,1,939260,2,10,16,-3 -16 -20 4 -42,13.932
# S 1628
1628,OK,1,629477,2,10,17,28 -21 -2 -54 -58,345.879
# S 1678
1678,OK,1,476057,2,10,17,8 -19 -64 -3 -60,676.217
# S 1728
1728,OK,1,1095200,2,11,15,28 13 -13 -15 -11,3.743
# S 1778
1778,OK,1,782168,2,10,16,68 -12 13 -10 -14,140.585
# S 1828
1828,OK,1,963661,2,10,16,44 -20 -13 2 19,107.485
# S 1878
