# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 7 of = 50
# kmax_cap = 33
# generated = 2026-08-27 06:07:50 host = bp1-compute138
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 8
8,OK,1,555509,2,10,17,41 45 -12 7 58,291.055
# S 58
58,OK,1,1160345,2,11,15,25 18 9 -7 -10,3.687
# S 108
108,OK,1,639468,2,10,16,35 29 47 -4 5,181.81
# S 158
158,OK,1,891105,2,10,16,64 -42 28 -19 6,204.898
# S 208
208,OK,1,220933,2,9,15,14 -24 15 -2 -4,5.459
# S 258
258,OK,1,874628,2,10,16,12 30 -22 -22 25,22.41
# S 308
308,OK,1,909188,2,10,16,28 18 29 44 -4,210.465
# S 358
358,OK,1,1352337,2,11,14,16 5 -7 1 1,0.375
# S 408
408,OK,1,1086793,2,11,15,1 -30 7 -2 13,2.387
# S 458
458,OK,1,929240,2,10,17,33 43 -43 45 70,403.779
# S 508
508,OK,1,1109596,2,11,16,31 11 -19 14 -25,49.759
# S 558
558,OK,1,494137,2,10,16,17 -32 -6 -7 30,16.921
# S 608
608,OK,1,1068040,2,11,15,21 -1 -16 3 9,4.138
# S 658
658,OK,1,853513,2,10,17,43 15 34 -30 65,358.365
# S 708
708,OK,1,1025572,2,10,16,55 38 59 -15 -15,107.925
# S 758
758,OK,1,539740,2,10,17,50 55 -4 77 -59,839.26
# S 808
808,OK,1,557669,2,10,15,4 23 7 -12 -9,2.801
# S 858
858,OK,1,168909,2,9,16,22 -21 8 26 8,149.74
# S 908
908,OK,1,1184685,2,11,15,12 11 20 0 -6,5.357
# S 958
958,OK,1,1057561,2,11,16,2 -31 23 -26 -21,85.771
# S 1008
1008,OK,1,1146093,2,11,16,44 -15 -39 41 33,23.781
# S 1058
1058,OK,1,603661,2,10,16,73 70 49 0 7,128.766
# S 1108
1108,OK,1,1294804,2,11,17,22 41 -72 -24 79,454.16
# S 1158
1158,OK,1,995565,2,10,16,37 61 -22 14 -34,32.094
# S 1208
1208,OK,1,318436,2,10,17,7 -86 44 12 44,1007.654
# S 1258
1258,OK,1,684617,2,10,15,9 -7 25 -4 7,1.624
# S 1308
1308,OK,1,831105,2,10,16,4 14 -11 44 28,58.007
# S 1358
1358,OK,1,574381,2,10,16,33 -4 -25 4 32,10.493
# S 1408
1408,OK,1,1330424,2,11,17,27 8 -64 13 65,1054.058
# S 1458
1458,OK,1,825216,2,10,15,36 -20 4 6 1,8.906
# S 1508
1508,OK,1,773569,2,10,16,42 -17 -37 -40 -1,256.266
# S 1558
1558,OK,1,128685,2,9,16,112 -45 27 5 -7,157.696
# S 1608
1608,OK,1,1156425,2,11,14,9 1 -5 2 -6,0.101
# S 1658
1658,OK,1,998785,2,10,16,0 3 40 5 -19,90.46
# S 1708
1708,OK,1,757708,2,10,17,56 65 -71 1 64,613.619
# S 1758
1758,OK,1,739581,2,10,15,21 15 23 3 -9,3.016
# S 1808
1808,OK,1,486601,2,10,16,5 12 -3 33 9,125.069
# S 1858
1858,OK,1,199641,2,9,15,46 -4 -14 -9 -2,5.066
# S 1908
1908,OK,1,636169,2,10,16,13 52 36 -5 -9,163.677
# S 1958
