# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 44 of = 50
# kmax_cap = 33
# generated = 2026-08-28 10:14:56 host = bp1-compute094
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 45
45,OK,1,887601,2,10,15,4 3 19 -11 -12,5.462
# S 95
95,OK,1,1076684,2,11,16,77 -7 -19 26 -23,87.453
# S 145
145,OK,1,848049,2,10,16,5 59 13 -25 14,107.186
# S 195
195,OK,1,555817,2,10,16,1 -12 39 -3 -28,28.55
# S 245
245,OK,1,996453,2,10,16,47 26 -6 4 35,21.964
# S 295
295,OK,1,545265,2,10,16,41 15 37 0 -19,58.585
# S 345
345,OK,1,917185,2,10,15,2 20 -8 -29 -4,4.663
# S 395
395,OK,1,1092652,2,11,16,0 18 -2 -1 36,23.56
# S 445
445,OK,1,936929,2,10,16,18 9 36 -23 22,79.717
# S 495
495,OK,1,791256,2,10,17,56 3 -38 25 -52,278.718
# S 545
545,OK,1,488977,2,10,16,64 34 10 -28 -23,49.527
# S 595
595,OK,1,1062292,2,11,16,24 -14 7 36 -31,38.704
# S 645
645,OK,1,1047636,2,10,15,6 -1 20 4 -8,4.907
# S 695
695,OK,1,939968,2,10,16,20 18 -18 -13 -36,14.393
# S 745
745,OK,1,643020,2,10,15,30 14 20 0 -7,4.068
# S 795
795,OK,1,691065,2,10,15,36 -10 8 -10 -13,2.095
# S 845
845,OK,1,538573,2,10,16,7 81 22 10 -11,139.704
# S 895
895,OK,1,1072956,2,11,16,1 28 -4 -26 -26,16.753
# S 945
945,OK,1,536601,2,10,16,14 5 9 -14 -21,9.476
# S 995
995,OK,1,1192408,2,11,15,16 8 11 15 11,3.065
# S 1045
1045,OK,1,944984,2,10,16,3 30 -9 8 -29,39.808
# S 1095
1095,OK,1,607724,2,10,15,33 -8 -8 5 3,6.702
# S 1145
1145,OK,1,1265769,2,11,16,0 -43 11 33 -35,24.781
# S 1195
1195,OK,1,1263117,2,11,16,36 28 35 6 -28,51.774
# S 1245
1245,OK,1,482740,2,10,15,7 -31 9 5 8,2.832
# S 1295
1295,OK,1,634033,2,10,16,70 14 15 -17 -19,96.78
# S 1345
1345,OK,1,1232137,2,11,15,5 9 -2 -18 9,5.095
# S 1395
1395,OK,1,958588,2,10,15,3 -27 6 7 11,2.748
# S 1445
1445,OK,1,1092917,2,11,16,20 19 -16 4 -30,18.322
# S 1495
1495,OK,1,782301,2,10,15,39 0 3 -3 -2,8.469
# S 1545
1545,OK,1,1004420,2,10,17,67 -38 43 -45 73,494.6
# S 1595
1595,OK,1,761021,2,10,15,7 -14 -11 3 14,1.539
# S 1645
1645,OK,1,861489,2,10,16,2 -12 -16 -1 -28,11.49
# S 1695
1695,OK,1,995789,2,10,16,9 31 -15 14 -33,14.855
# S 1745
1745,OK,1,484860,2,10,16,41 -21 -6 -23 13,128.616
# S 1795
1795,OK,1,966461,2,10,15,17 -2 30 4 -9,3.274
# S 1845
1845,OK,1,825440,2,10,16,29 12 -12 -17 -33,14.955
# S 1895
1895,OK,1,860165,2,10,16,17 -30 13 -20 19,96.845
# S 1945
1945,OK,1,1087372,2,11,16,26 -49 -10 -5 -33,17.126
# S 1995
1995,OK,1,483773,2,10,15,22 -5 -15 2 16,0.465
# S 2045
2045,OK,1,386821,2,10,16,40 4 -21 -28 -37,12.606
# S 2095
2095,OK,1,674673,2,10,16,57 53 -12 -10 0,267.129
# S 2145
2145,OK,1,350724,2,10,16,7 11 26 24 4,196.239
# S 2195
2195,OK,1,636025,2,10,16,34 15 10 9 -32,11.217
# S 2245
2245,OK,1,144360,2,9,16,13 -5 -32 7 16,9.842
# S 2295
