# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 35 of = 50
# kmax_cap = 33
# generated = 2026-08-28 03:33:52 host = bp1-compute098
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 36
36,OK,1,253253,2,9,16,27 -6 -18 25 -24,28.763
# S 86
86,OK,1,459492,2,10,16,51 -2 19 -9 -24,27.771
# S 136
136,OK,1,704264,2,10,16,53 20 14 30 -10,157.982
# S 186
186,OK,1,643624,2,10,15,24 19 -12 -11 -3,6.212
# S 236
236,OK,1,994505,2,10,17,8 23 21 38 75,394.559
# S 286
286,OK,1,679897,2,10,16,77 61 13 -16 13,111.677
# S 336
336,OK,1,1016180,2,10,16,16 15 -26 36 16,121.0
# S 386
386,OK,1,563600,2,10,17,56 6 5 -85 49,782.426
# S 436
436,OK,1,387665,2,10,16,12 45 -43 26 -18,63.107
# S 486
486,OK,1,779761,2,10,16,43 -20 9 -1 27,14.376
# S 536
536,OK,1,469665,2,10,16,8 55 -12 -26 -19,23.789
# S 586
586,OK,1,1272377,2,11,16,19 26 -27 -9 -42,19.741
# S 636
636,OK,1,423228,2,10,16,11 -12 39 -19 -22,44.422
# S 686
686,OK,1,487016,2,10,17,59 13 -58 52 30,2011.042
# S 736
736,OK,1,1218161,2,11,15,6 -9 23 6 12,3.481
# S 786
786,OK,1,724041,2,10,17,35 33 29 -2 -72,430.316
# S 836
836,OK,1,1095348,2,11,16,59 15 -28 0 -17,58.154
# S 886
886,OK,1,788325,2,10,15,15 26 16 -11 7,1.951
# S 936
936,OK,1,946137,2,10,16,27 38 17 44 40,16.439
# S 986
986,OK,1,971236,2,10,16,4 -16 43 15 34,28.175
# S 1036
1036,OK,1,308300,2,10,16,29 -30 -19 -48 -1,227.163
# S 1086
1086,OK,1,1191624,2,11,16,51 65 -28 -30 6,230.049
# S 1136
1136,OK,1,909516,2,10,13,2 -9 5 0 -1,0.02
# S 1186
1186,OK,1,903541,2,10,16,51 -22 15 -15 12,148.747
# S 1236
1236,OK,1,944296,2,10,16,24 -19 23 -20 22,55.862
# S 1286
1286,OK,1,497749,2,10,17,105 -47 14 -11 -56,567.864
# S 1336
1336,OK,1,436292,2,10,16,25 -23 11 26 30,12.817
# S 1386
1386,OK,1,1024108,2,10,16,34 32 16 -36 -37,20.205
# S 1436
1436,OK,1,553309,2,10,16,1 -46 2 22 19,77.288
# S 1486
1486,OK,1,610125,2,10,15,14 -1 21 0 -9,2.471
# S 1536
1536,OK,1,1074081,2,11,16,41 -9 8 -11 -35,19.533
# S 1586
1586,OK,1,920881,2,10,16,30 29 8 -8 23,41.7
# S 1636
1636,OK,1,429976,2,10,16,32 -6 34 -20 -29,10.856
# S 1686
1686,OK,1,739769,2,10,16,3 0 -26 -7 -23,13.098
# S 1736
1736,OK,1,821664,2,10,16,2 53 20 -12 -22,46.966
# S 1786
1786,OK,1,969897,2,10,16,42 9 -30 -15 26,66.756
# S 1836
1836,OK,1,706785,2,10,16,54 -5 13 -4 30,22.172
# S 1886
1886,OK,1,886529,2,10,16,27 29 19 8 30,30.186
# S 1936
1936,OK,1,399205,2,10,15,27 3 -21 7 -1,8.509
# S 1986
1986,OK,1,691344,2,10,16,4 -32 -32 -11 -20,41.822
# S 2036
2036,OK,1,1040148,2,10,15,3 2 5 8 -17,1.188
# S 2086
2086,OK,1,1117176,2,11,16,34 42 -19 15 4,238.861
# S 2136
2136,OK,1,645196,2,10,16,24 14 -26 27 -16,39.341
# S 2186
2186,OK,1,681777,2,10,16,1 -39 -23 14 -28,37.599
# S 2236
2236,OK,1,624001,2,10,16,8 5 32 7 38,10.816
# S 2286
2286,OK,1,208129,2,9,15,6 -22 -17 -20 7,3.642
# S 2336
2336,OK,1,995848,2,10,16,40 -15 0 -33 -15,129.409
# S 2386
2386,OK,1,433284,2,10,14,13 6 -11 3 0,0.356
# S 2436
2436,OK,1,913396,2,10,16,10 -30 -47 26 6,223.014
# S 2486
2486,OK,1,481793,2,10,15,14 -21 11 10 12,0.871
# S 2536
2536,OK,1,955889,2,10,14,11 4 -7 2 5,0.098
# S 2586
2586,OK,1,789348,2,10,16,56 30 6 -19 -19,88.852
# S 2636
2636,OK,1,978520,2,10,16,36 -12 -20 -19 -35,14.998
# S 2686
2686,OK,1,1269728,2,11,17,54 28 27 -65 80,520.705
# S 2736
2736,OK,1,506404,2,10,15,4 13 -19 -14 0,8.997
# S 2786
